Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Montenegro's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Montenegro (%)	
"World"	437051	-2067243	100	2	19		100	3				
"Serbia"	130849	-378668	29.9	9	5	65	0.2	9	2497	0.06		
"Switzerland"	50671	-2798	11.6	69	546	20	1.5	4	3384	0.07		
"Bosnia and Herzegovina"	33386	-95506	7.6	-10	49	94	0.06	3	2228	0.07		
"Italy"	25657	-129842	5.9	11	152	11	2.5	2	2891	0.06		
"Turkey"	24180	-86399	5.5	2	79	22	1.2	3	4285	0.05		
"Slovenia"	22017	-24194	5	4	-39	55	0.2	10	2404	0.07		
"Germany"	20311	-210845	4.6	20	18	3	6.5	3	3376	0.05		
"Albania"	19954	-22829	4.6	13	54	121	0.03	6	1886	0.13		
"Poland"	15163	-28767	3.5	-4	25	18	1.5	8	3121	0.08		
"Czech Republic"	11237	-20853	2.6	17	-2	28	1	4	2987	0.1		
"Greece"	11208	-136760	2.6	150	158	45	0.3	4	2847	0.05		
"Hungary"	6540	-17822	1.5	-32	-71	33	0.6	6	2180	0.09		
"Area Nes"	5974	5974	1.4	-30	180							
"China"	5683	-239489	1.3	2	-74	2	11.1	5	6416	0.04		
"United Arab Emirates"	4860	4239	1.1	18	608	29	0.9	-2	5715	0.08		
"Macedonia, North"	4661	-27174	1.1	-7	-9	103	0.05	8	1348	0.09		
"Spain"	3761	-50043	0.9	89	304	15	1.9	3	3890	0.05		
"Luxembourg"	3753	3203	0.9	165	1745	71	0.1	3	1488	0.14		
"Croatia"	3702	-134435	0.8	5	25	63	0.2	6	1362	0.07		
"Libya, State of"	3033	3033	0.7		102	89	0.07	12	3475	0.08		
"United States of America"	2922	-27927	0.7	22	35	1	13.4	3	7938	0.08		
"Russian Federation"	2348	-8248	0.5	-3	67	21	1.3	5	4187	0.09		
"Sweden"	2257	-14356	0.5	-11	-5	31	0.9	3	2128	0.07		
"France"	2212	-46368	0.5	-24	271	6	3.2	1	3195	0.06		
"Austria"	2115	-32712	0.5	6	-80	27	1	3	1514	0.18		
"Hong Kong, China"	1842	1328	0.4	-47	4425	5	3.3	3	2841	0.22		
"Netherlands"	1552	-47630	0.4	-3	-29	8	2.8	5	3706	0.07		
"United Kingdom"	1389	-21035	0.3	-29	-58	7	3.2	1	3930	0.06		
"Egypt"	1294	-230	0.3	-13	19	46	0.3	-1	5219	0.05		
"Suriname"	1189	1183	0.3		72	173	0	1	9050	0.14		
"Ukraine"	1127	-5738	0.3	25	153	48	0.3	7	3255	0.06		
"Slovakia"	899	-7101	0.2	119	359	38	0.5	4	2664	0.07		
"Bulgaria"	820	-14375	0.2	-33	79	57	0.2	6	2237	0.05		
"Malta"	807	792	0.2	58	-8	120	0.03	1	3249	0.08		
"Morocco"	771	-237	0.2			52	0.3	4	4316	0.07		
