Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Morocco's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Morocco (%)	
"World"	36578743	-22088514	100	7	32		100	3				
"Spain"	7865015	-1363014	21.5	5	19	15	1.9	3	3890	0.05		
"France"	7516064	1327071	20.5	5	24	6	3.2	1	3195	0.06		
"Brazil"	2029315	1180431	5.5	27	78	26	1	6	10879	0.09		
"India"	1806734	736652	4.9	23	52	10	2.6	2	5793	0.05		
"Italy"	1559790	-1413504	4.3	5	28	11	2.5	2	2891	0.06		
"United Kingdom"	1197087	469520	3.3	10	111	7	3.2	1	3930	0.06		
"United States of America"	1103262	-2642357	3	-2	12	1	13.4	3	7938	0.08		
"Germany"	1075011	-1499514	2.9	8	19	3	6.5	3	3376	0.05		
"Netherlands"	926633	20598	2.5	14	6	8	2.8	5	3706	0.07		
"Turkey"	800044	-2581820	2.2	3	33	22	1.2	3	4285	0.05		
"Bangladesh"	585598	522801	1.6	45	422	49	0.3	6	4172	0.15		
"Belgium"	552707	-503050	1.5	5	38	12	2.4	3	2709	0.08		
"Pakistan"	545623	502575	1.5	18	73	47	0.3	2	4850	0.11		
"Portugal"	512503	-1126369	1.4	5	39	40	0.4	2	2788	0.14		
"Area Nes"	483642	381407	1.3	4	83							
"China"	362463	-6508016	1	3	39	2	11.1	5	6416	0.04		
"Côte d'Ivoire"	358446	331437	1	20	43	93	0.06	9	6793	0.08		
"Poland"	351771	-339915	1	5	61	18	1.5	8	3121	0.08		
"Senegal"	311059	295382	0.9	11	46	110	0.04	4	6632	0.05		
"Mexico"	305810	144822	0.8	17	74	13	2.3	2	7039	0.24		
"Argentina"	302822	-525323	0.8	36	29	50	0.3	-5	10631	0.1		
"Switzerland"	271317	-45895	0.7	12	70	20	1.5	4	3384	0.07		
"Mauritania"	261981	261557	0.7	7	42	146	0.02	1	5817	0.07		
"Djibouti"	257302	257301	0.7	66	3	130	0.02	5	6387	0.22		
"Australia"	256885	222135	0.7	83	474	24	1.1	1	10262	0.1		
"Romania"	251917	-506743	0.7	9	90	37	0.5	6	1891	0.07		
"Canada"	216327	-355955	0.6	1	6	14	2.2	1	5042	0.26		
"Japan"	194416	-239622	0.5	-3	15	4	3.5	1	6256	0.09		
"Austria"	193725	-93748	0.5	-2	13	27	1	3	1514	0.18		
"Russian Federation"	188510	-1827024	0.5	-4	-9	21	1.3	5	4187	0.09		
"Czech Republic"	156596	-360274	0.4	4	113	28	1	4	2987	0.1		
"Singapore"	155623	6945	0.4	-14	-15	16	1.9	3	5773	0.07		
"Tunisia"	144158	-109457	0.4	7	62	78	0.10	-1	3411	0.06		
"Ghana"	132840	126969	0.4	6	4	82	0.08	8	8888	0.18		
"United Arab Emirates"	132111	-891129	0.4	13	43	29	0.9	-2	5715	0.08		
"Nigeria"	130889	99313	0.4	-7	25	53	0.2	17	7792	0.1		
"Sweden"	130808	-214256	0.4	6	133	31	0.9	3	2128	0.07		
"Algeria"	114837	-534361	0.3	-13	-14	64	0.2	-8	4584	0.07		
"Mali"	112174	108074	0.3	9	73	141	0.02	9	5008	0.1		
"Cameroon"	98377	93441	0.3	7	55	116	0.03	8	7279	0.14		
"Hong Kong, China"	98017	78142	0.3	58	1206	5	3.3	3	2841	0.22		
"Guinea"	97059	91064	0.3	10	10	135	0.02	7	9140	0.19		
"Ireland"	95692	-74096	0.3	-10	-23	36	0.5	4	3265	0.1		
"Benin"	94833	94629	0.3	3	139	149	0.01	-2	6481	0.07		
"Burkina Faso"	88158	87017	0.2	11	44	136	0.02	5	6109	0.05		
"Greece"	86816	-87917	0.2	22	32	45	0.3	4	2847	0.05		
"Saudi Arabia"	85435	-1729535	0.2	-10	-12	32	0.7	3	5816	0.07		
"Ukraine"	84447	-494045	0.2	41	50	48	0.3	7	3255	0.06		
"Egypt"	83077	-736454	0.2	7	-8	46	0.3	-1	5219	0.05		
"Slovenia"	79729	11972	0.2	26	153	55	0.2	10	2404	0.07		
"Denmark"	77174	-57649	0.2	20	29	35	0.6	5	2182	0.08		
"Libya, State of"	76750	40316	0.2	-2	13	89	0.07	12	3475	0.08		
"New Zealand"	75810	39219	0.2	14	245	56	0.2	3	11141	0.09		
"Norway"	72283	-29659	0.2	12	26	39	0.5	3	3470	0.06		
"Slovakia"	69257	-177174	0.2	7	15	38	0.5	4	2664	0.07		
"Hungary"	69244	-226333	0.2	11	-7	33	0.6	6	2180	0.09		
"Bulgaria"	59990	-127658	0.2	-24	-6	57	0.2	6	2237	0.05		
"Korea, Republic of"	57826	-358832	0.2	-14	3	9	2.8	4	5699	0.09		
"Mozambique"	57450	56252	0.2	1	36	108	0.04	8	6196	0.1		
"Lithuania"	54643	-7790	0.1	91	69	59	0.2	7	1630	0.07		
"Togo"	53119	7784	0.1	5	-2	153	0.01	10	7318	0.08		
"Indonesia"	47870	-70373	0.1	1	90	30	0.9	2	5872	0.11		
"South Africa"	46937	-99250	0.1	1	18	41	0.4	-1	9230	0.07		
"Belarus"	45735	-33919	0.1	58	140	61	0.2	2	2268	0.23		
"Uruguay"	44717	39771	0.1	21	32	95	0.06	0	9836	0.11		
"Gabon"	43825	17764	0.1	0	-16	158	0.01	-2	7114	0.11		
"Lebanon"	41686	21467	0.1	-14	-12	97	0.06	-12	3592	0.06		
"Peru"	41114	-12441	0.1	-11	78	54	0.2	3	10420	0.13		
"Syrian Arab Republic"	38651	36167	0.1	-5	-19	139	0.02	-3	2496	0.27		
"Ethiopia"	34339	30964	0.1	-47	2130	90	0.07	1	6305	0.11		
"Congo"	32271	29119	0.1	-11	19	154	0.01	-18	6851	0.07		
"Taipei, Chinese"	30408	-101667	0.1	-9	68	17	1.7	8	5007	0.1		
"Qatar"	30004	-126498	0.1	2	-9	70	0.1	0	5745	0.06		
"Finland"	29264	-152804	0.1	33	265	44	0.4	3	2842	0.07		
"Niger"	28662	28645	0.1	2	-5	162	0	13	5715	0.09		
"Kenya"	26749	5776	0.1	16	91	80	0.09	2	6680	0.08		
