Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Netherlands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Netherlands (%)	
"World"	691826642	71036845	100	5	25		100	3				
"Germany"	157394272	50059370	22.8	5	29	3	6.5	3	3376	0.05		
"Belgium"	74541327	13173008	10.8	6	32	12	2.4	3	2709	0.08		
"France"	55959434	34234759	8.1	5	32	6	3.2	1	3195	0.06		
"Area Nes"	47353850	13659730	6.8	65	1286							
"United States of America"	33020914	-14352805	4.8	8	19	1	13.4	3	7938	0.08		
"Italy"	29905940	12748312	4.3	6	36	11	2.5	2	2891	0.06		
"Spain"	21755876	9205875	3.1	6	32	15	1.9	3	3890	0.05		
"Poland"	21595932	8655283	3.1	11	33	18	1.5	8	3121	0.08		
"China"	16525854	-46566825	2.4	7	2	2	11.1	5	6416	0.04		
"Sweden"	14159010	4494488	2	4	34	31	0.9	3	2128	0.07		
"Taipei, Chinese"	11505023	4414217	1.7	28	57	17	1.7	8	5007	0.1		
"Czech Republic"	10610087	4017336	1.5	6	17	28	1	4	2987	0.1		
"Switzerland"	10182823	5109357	1.5	11	16	20	1.5	4	3384	0.07		
"Korea, Republic of"	10060043	3962119	1.5	9	35	9	2.8	4	5699	0.09		
"Denmark"	9384148	3089182	1.4	7	26	35	0.6	5	2182	0.08		
"Austria"	8694737	4689510	1.3	5	33	27	1	3	1514	0.18		
"Russian Federation"	7778776	-13840601	1.1	6	13	21	1.3	5	4187	0.09		
"Turkey"	7360713	2126440	1.1	2	13	22	1.2	3	4285	0.05		
"Ireland"	7232433	-4658217	1	13	31	36	0.5	4	3265	0.1		
"Finland"	6535674	1091794	0.9	4	31	44	0.4	3	2842	0.07		
"Norway"	5971506	-12267390	0.9	4	11	39	0.5	3	3470	0.06		
"Ship stores and bunkers"	5783584	5767665	0.8	0	57	75	0.1	-11		0.16		
"Hungary"	5346046	1175199	0.8	5	26	33	0.6	6	2180	0.09		
