Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in New Zealand's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by New Zealand (%)	
"World"	43361858	-6227425	100	3	16		100	3				
"China"	14111996	2343856	32.5	12	31	2	11.1	5	6416	0.04		
"Australia"	4965815	-652480	11.5	-5	4	24	1.1	1	10262	0.1		
"United States of America"	4570269	328262	10.5	5	18	1	13.4	3	7938	0.08		
"Japan"	2538244	-654234	5.9	2	10	4	3.5	1	6256	0.09		
"Korea, Republic of"	1407831	-822189	3.2	5	27	9	2.8	4	5699	0.09		
"Taipei, Chinese"	952006	114306	2.2	4	12	17	1.7	8	5007	0.1		
"United Kingdom"	950492	-196437	2.2	-2	-2	7	3.2	1	3930	0.06		
"Indonesia"	894968	-128263	2.1	6	28	30	0.9	2	5872	0.11		
"Singapore"	866058	-267226	2	0	29	16	1.9	3	5773	0.07		
"Hong Kong, China"	811633	731562	1.9	-1	8	5	3.3	3	2841	0.22		
"Thailand"	756345	-1513588	1.7	4	23	23	1.2	2	4905	0.09		
"Malaysia"	710242	-612754	1.6	0	4	25	1.1	3	5172	0.09		
"Viet Nam"	589733	-319251	1.4	4	11	19	1.5	8	3535	0.19		
"European Union Nes"	572913	572913	1.3	21	20							
"Germany"	549147	-1852287	1.3	3	-8	3	6.5	3	3376	0.05		
"United Arab Emirates"	546211	-1261333	1.3	-3	14	29	0.9	-2	5715	0.08		
"Netherlands"	544918	79683	1.3	-5	25	8	2.8	5	3706	0.07		
"Canada"	492568	-2532	1.1	1	-1	14	2.2	1	5042	0.26		
"Philippines"	472400	356499	1.1	-2	1	34	0.6	2	4354	0.09		
"Saudi Arabia"	446316	234095	1	4	-14	32	0.7	3	5816	0.07		
"India"	317239	-383671	0.7	-12	5	10	2.6	2	5793	0.05		
"Bangladesh"	299708	163924	0.7	8	21	49	0.3	6	4172	0.15		
"Mexico"	294566	-55309	0.7	2	42	13	2.3	2	7039	0.24		
"France"	292272	-630246	0.7	6	-1	6	3.2	1	3195	0.06		
"Sri Lanka"	253110	206335	0.6	-2	-11	85	0.08	-3	4351	0.16		
"Egypt"	221297	208827	0.5	-3	44	46	0.3	-1	5219	0.05		
"Fiji"	208694	153444	0.5	-8	1	157	0.01	-7	7384	0.12		
"Ship stores and bunkers"	207618	207618	0.5	1	14	75	0.1	-11		0.16		
"Algeria"	193856	189034	0.4	-15	-26	64	0.2	-8	4584	0.07		
"Russian Federation"	169146	99319	0.4	9	-19	21	1.3	5	4187	0.09		
"Italy"	168257	-949113	0.4	-11	17	11	2.5	2	2891	0.06		
"Nigeria"	163735	163679	0.4	1	32	53	0.2	17	7792	0.1		
"Chile"	137289	63128	0.3	1	23	43	0.4	6	11582	0.13		
"Belgium"	128426	-433659	0.3	-11	18	12	2.4	3	2709	0.08		
"South Africa"	122692	25054	0.3	-6	10	41	0.4	-1	9230	0.07		
"French Polynesia"	103645	102074	0.2	-3	10	165	0	1	13300	0.24		
"Spain"	99685	-250392	0.2	-9	16	15	1.9	3	3890	0.05		
"Papua New Guinea"	93863	81484	0.2	-6	3	143	0.02	-1	4973	0.17		
"Oman"	89746	79901	0.2	11	-9	83	0.08	-6	5977	0.08		
"Switzerland"	85882	-258203	0.2	3	10	20	1.5	4	3384	0.07		
"Denmark"	76298	-114982	0.2	-11	12	35	0.6	5	2182	0.08		
"New Caledonia"	75949	74214	0.2	-4	3	155	0.01	-1	11471	0.2		
"Poland"	74015	-157753	0.2	10	97	18	1.5	8	3121	0.08		
"Brazil"	69187	-85062	0.2	3	30	26	1	6	10879	0.09		
"Peru"	67365	41960	0.2	-10	2	54	0.2	3	10420	0.13		
"Libya, State of"	62935	62915	0.1	30	4	89	0.07	12	3475	0.08		
"Ireland"	57822	-108877	0.1	11	5	36	0.5	4	3265	0.1		
"Cook Islands"	57063	56571	0.1	-7	14	206	0	-4	9417	0.22		
"Mauritius"	56322	52254	0.1	0	0	133	0.02	-2	7320	0.08		
"Samoa"	51201	44097	0.1	-4	2	197	0	-1	6816	0.13		
"Kuwait"	49417	-4231	0.1	-8	-35	76	0.1	-3	5837	0.07		
"Sweden"	48586	-245991	0.1	-2	-4	31	0.9	3	2128	0.07		
"Trinidad and Tobago"	46803	45924	0.1	0	9	128	0.03	-1	6663	0.26		
"Jordan"	46563	43799	0.1	-7	-28	84	0.08	0	5167	0.07		
"Bahrain"	45940	34607	0.1	5	98	101	0.05	1	6359	0.08		
"Tonga"	44583	42197	0.1	2	9	202	0	4	5771	0.16		
"Myanmar"	41926	34058	0.1	9	11	79	0.10	-1	2536	0.25		
"Georgia"	40876	40137	0.1	71	11	113	0.04	-2	2513	0.09		
"Pakistan"	40039	-24786	0.1	-19	25	47	0.3	2	4850	0.11		
"Greece"	35762	-8768	0.1	-2	11	45	0.3	4	2847	0.05		
"Norway"	33978	-16800	0.1	1	46	39	0.5	3	3470	0.06		
"Panama"	29528	28794	0.1	-2	-20	60	0.2	1	8657	0.12		
"Guatemala"	27426	1499	0.1	-2	35	68	0.1	7	5828	0.15		
"Morocco"	25223	-35641	0.1	-20	6	52	0.3	4	4316	0.07		
"Jamaica"	23972	18158	0.1	-1	-4	137	0.02	-2	6759	0.22		
"Turkey"	23550	-153643	0.1	-19	-25	22	1.2	3	4285	0.05		
"Vanuatu"	22526	21817	0.1	-6	1	198	0	-2	6248	0.13		
"Cuba"	22417	21787	0.1	2	-64	145	0.02	-13	7148	0.09		
"United States Minor Outlying Islands"	22277	22121	0.1	8	-31	177	0	0		0.21		
"Ghana"	21918	12059	0.1	-2	-25	82	0.08	8	8888	0.18		
"Austria"	21771	-242966	0.1	-7	74	27	1	3	1514	0.18		
"Qatar"	21264	-4531	0	0	-46	70	0.1	0	5745	0.06		
"El Salvador"	21005	19346	0	42	-15	88	0.07	9	4914	0.15		
"Portugal"	20622	-31529	0	-12	5	40	0.4	2	2788	0.14		
"Cameroon"	20471	20358	0	12	3	116	0.03	8	7279	0.14		
"Czech Republic"	20215	-152810	0	15	-20	28	1	4	2987	0.1		
"Guyana"	20103	18245	0	2	17	144	0.02	13	11175	0.21		
"Argentina"	19865	-173235	0	5	42	50	0.3	-5	10631	0.1		
"Côte d'Ivoire"	19720	18932	0	0	29	93	0.06	9	6793	0.08		
"Sudan"	18315	18312	0	-9	-73	122	0.03	-2		0.13		
"Barbados"	17713	16373	0	-2	-2	161	0	0	4992	0.21		
"Colombia"	16048	-467	0	19	4	51	0.3	4	8915	0.13		
"Israel"	14624	-95658	0	-9	11	42	0.4	4	5483	0.07		
"Ukraine"	13956	-6655	0	10	40	48	0.3	7	3255	0.06		
"Solomon Islands"	13283	4138	0	-15	3	190	0	0	6301	0.17		
"Lithuania"	12731	-23939	0	-1	38	59	0.2	7	1630	0.07		
"Uruguay"	12591	10296	0	4	8	95	0.06	0	9836	0.11		
"Mongolia"	12287	12158	0	23	6	125	0.03	8	3267	0.22		
"Syrian Arab Republic"	12254	12189	0	6	-17	139	0.02	-3	2496	0.27		
"Bulgaria"	11760	-3562	0	9	-4	57	0.2	6	2237	0.05		
"Iraq"	11427	11315	0	20	205	62	0.2	3	4107	0.18		
"Azerbaijan"	10530	10277	0	-29	-33	98	0.05	5	3712	0.09		
"Nepal"	10335	8925	0	14	44	96	0.06	8	1856	0.56		
"Cambodia"	9789	-20242	0	13	3	66	0.1	16	2651	0.18		
"Finland"	9760	-128157	0	-7	-9	44	0.4	3	2842	0.07		
"Niue"	9025	8837	0	-7	11	223	0	7	11410	0.48		
"Dominican Republic"	8217	-3103	0	-15	-38	67	0.1	5	6446	0.22		
"Area Nes"	8064	8064	0	-53	-72							
"Maldives"	8059	8057	0	-20	-44	151	0.01	-3	4478	0.08		
"Latvia"	7805	-6600	0	-5	-15	77	0.1	7	1575	0.08		
