Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Norway's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Norway (%)	
"World"	160479746	61843562	100	5	95		100	3				
"United Kingdom"	33321743	28723740	20.8	3	132	7	3.2	1	3930	0.06		
"Germany"	30851311	19842904	19.2	6	221	3	6.5	3	3376	0.05		
"Netherlands"	12584581	9051578	7.8	0	54	8	2.8	5	3706	0.07		
"Sweden"	12568533	1381340	7.8	13	54	31	0.9	3	2128	0.07		
"France"	11681930	8843767	7.3	5	177	6	3.2	1	3195	0.06		
"Belgium"	9434423	7561236	5.9	6	203	12	2.4	3	2709	0.08		
"China"	9264622	-3638338	5.8	48	45	2	11.1	5	6416	0.04		
"Denmark"	4502864	-94479	2.8	-6	30	35	0.6	5	2182	0.08		
"United States of America"	4387923	-1829689	2.7	-7	33	1	13.4	3	7938	0.08		
"Poland"	3378995	12159	2.1	6	49	18	1.5	8	3121	0.08		
"Korea, Republic of"	2494550	1472945	1.6	20	75	9	2.8	4	5699	0.09		
"Spain"	2454595	124006	1.5	-3	62	15	1.9	3	3890	0.05		
"Italy"	2152274	-809317	1.3	7	70	11	2.5	2	2891	0.06		
"Turkey"	1708918	431394	1.1	23	24	22	1.2	3	4285	0.05		
"Finland"	1650039	-426674	1	-4	25	44	0.4	3	2842	0.07		
"India"	1325777	571599	0.8	40	232	10	2.6	2	5793	0.05		
"Nigeria"	1262962	1240760	0.8	39	68	53	0.2	17	7792	0.1		
"Japan"	1079649	-685634	0.7	-7	19	4	3.5	1	6256	0.09		
"Canada"	983478	-1642570	0.6	-8	46	14	2.2	1	5042	0.26		
"Greece"	879159	763335	0.5	56	270	45	0.3	4	2847	0.05		
"Ireland"	852839	187479	0.5	-14	49	36	0.5	4	3265	0.1		
"Iceland"	734395	524493	0.5	2	55	112	0.04	-1	4251	0.05		
"Brazil"	719133	-848910	0.4	7	57	26	1	6	10879	0.09		
"Lithuania"	622208	-613809	0.4	-5	-10	59	0.2	7	1630	0.07		
"Portugal"	621348	188463	0.4	-1	14	40	0.4	2	2788	0.14		
"Russian Federation"	435601	-2105006	0.3	11	32	21	1.3	5	4187	0.09		
"Thailand"	430710	-389237	0.3	7	46	23	1.2	2	4905	0.09		
"Singapore"	424415	58124	0.3	-19	-26	16	1.9	3	5773	0.07		
"Switzerland"	422850	-572783	0.3	2	16	20	1.5	4	3384	0.07		
"Austria"	393408	-396495	0.2	8	47	27	1	3	1514	0.18		
"Taipei, Chinese"	334446	-345841	0.2	10	49	17	1.7	8	5007	0.1		
"Ukraine"	319676	242638	0.2	14	68	48	0.3	7	3255	0.06		
"Australia"	296263	58869	0.2	6	32	24	1.1	1	10262	0.1		
"Czech Republic"	288540	-990135	0.2	2	31	28	1	4	2987	0.1		
"Viet Nam"	282795	-685284	0.2	-5	40	19	1.5	8	3535	0.19		
"Hong Kong, China"	267997	115860	0.2	3	66	5	3.3	3	2841	0.22		
"Egypt"	258701	223825	0.2	-14	91	46	0.3	-1	5219	0.05		
"United Arab Emirates"	254081	167117	0.2	-14	5	29	0.9	-2	5715	0.08		
"Israel"	242236	105057	0.2	11	22	42	0.4	4	5483	0.07		
"Brunei Darussalam"	218413	218408	0.1	152	12613	109	0.04	26	5185	0.11		
"Estonia"	210279	-493523	0.1	1	20	73	0.1	6	2314	0.06		
"Latvia"	208072	-231870	0.1	11	100	77	0.1	7	1575	0.08		
"Indonesia"	201905	-35142	0.1	7	1	30	0.9	2	5872	0.11		
"Mexico"	199276	-537960	0.1	9	46	13	2.3	2	7039	0.24		
"Malaysia"	175734	-236465	0.1	-7	-10	25	1.1	3	5172	0.09		
"Angola"	162935	151824	0.1	-1	8	100	0.05	-11	7692	0.06		
"Bahamas"	160258	159099	0.1	0	2483	115	0.03	-8	6248	0.19		
"Qatar"	151837	125023	0.1	30	232	70	0.1	0	5745	0.06		
"Belarus"	138374	-137373	0.1	-3	42	61	0.2	2	2268	0.23		
"Chile"	134814	-104687	0.1	10	-3	43	0.4	6	11582	0.13		
"Romania"	129889	-405270	0.1	4	6	37	0.5	6	1891	0.07		
"Faroe Islands"	127183	86864	0.1	1	51	172	0	7	1404	0.27		
"Croatia"	126843	-3094	0.1	22	157	63	0.2	6	1362	0.07		
"Saudi Arabia"	120113	102412	0.1	-4	2	32	0.7	3	5816	0.07		
"Hungary"	85806	-482816	0.1	-10	12	33	0.6	6	2180	0.09		
"South Africa"	81813	-255839	0.1	-5	-18	41	0.4	-1	9230	0.07		
"Kazakhstan"	78200	71260	0	9	50	58	0.2	6	3017	0.25		
"Slovakia"	77028	-311228	0	14	42	38	0.5	4	2664	0.07		
"Cameroon"	74806	74437	0	23	1318	116	0.03	8	7279	0.14		
"Philippines"	71776	6103	0	5	79	34	0.6	2	4354	0.09		
"Marshall Islands"	68506	46081	0	52	1862	91	0.06	-1	7455	0.18		
"Dominican Republic"	67146	53945	0	10	5	67	0.1	5	6446	0.22		
"Pakistan"	65164	-60537	0	23	89	47	0.3	2	4850	0.11		
"Argentina"	59390	27034	0	3	74	50	0.3	-5	10631	0.1		
"Serbia"	58854	1089	0	11	28	65	0.2	9	2497	0.06		
"Azerbaijan"	54086	2363	0	-17	-52	98	0.05	5	3712	0.09		
"Ghana"	53714	52168	0	-13	60	82	0.08	8	8888	0.18		
"Morocco"	53151	-105033	0	-20	-43	52	0.3	4	4316	0.07		
"Congo"	46735	-8821	0	-19	10	154	0.01	-18	6851	0.07		
"Algeria"	35574	25133	0	-11	-30	64	0.2	-8	4584	0.07		
"New Zealand"	33923	-26145	0	-11	13	56	0.2	3	11141	0.09		
"Bulgaria"	33726	-89030	0	-3	25	57	0.2	6	2237	0.05		
"Luxembourg"	33381	-70445	0	-3	-14	71	0.1	3	1488	0.14		
"Panama"	33029	-12771	0	-13	308	60	0.2	1	8657	0.12		
"Mozambique"	32620	28045	0	98	1585	108	0.04	8	6196	0.1		
"Togo"	31403	31206	0	-41	43	153	0.01	10	7318	0.08		
"Colombia"	30962	-174104	0	-3	71	51	0.3	4	8915	0.13		
"Cyprus"	28352	-26435	0	-16	-37	105	0.05	-1	3118	0.09		
"Guatemala"	24504	7032	0	12	43	68	0.1	7	5828	0.15		
"Jamaica"	24192	24103	0	6	12	137	0.02	-2	6759	0.22		
"Senegal"	22648	-60041	0	63	-19	110	0.04	4	6632	0.05		
"Kenya"	22256	-42012	0	-20	39	80	0.09	2	6680	0.08		
"Kuwait"	20955	20840	0	0	-30	76	0.1	-3	5837	0.07		
"Guyana"	20827	20753	0	47	879	144	0.02	13	11175	0.21		
"Slovenia"	20288	-187045	0	10	20	55	0.2	10	2404	0.07		
"Peru"	19926	-297721	0	6	45	54	0.2	3	10420	0.13		
"Oman"	19647	2138	0	-44	45	83	0.08	-6	5977	0.08		
"Liberia"	19516	19447	0	18	1106	87	0.07	17	11608	0.19		
"Trinidad and Tobago"	18917	-22150	0	38	-7	128	0.03	-1	6663	0.26		
"Malta"	16836	4668	0	-22	-44	120	0.03	1	3249	0.08		
"Uruguay"	16605	-25262	0	-10	-19	95	0.06	0	9836	0.11		
"Bangladesh"	16484	-336797	0	-20	-46	49	0.3	6	4172	0.15		
"Costa Rica"	16112	-46098	0	24	28	86	0.08	3	6987	0.22		
"Bahrain"	14908	-18131	0	15	-18	101	0.05	1	6359	0.08		
"Armenia"	14288	13364	0	77	1388	131	0.02	6	3323	0.15		
"Namibia"	12323	-16659	0	20	126	126	0.03	-1	3757	0.37		
"Congo, Democratic Republic of the"	12057	12037	0	-6	22	111	0.04	13	6479	0.14		
"Côte d'Ivoire"	11659	8839	0	3	2	93	0.06	9	6793	0.08		
