Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Pakistan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Pakistan (%)	
"World"	28880006	-44226618	100	5	30		100	3				
"United States of America"	6094814	2253635	21.1	12	47	1	13.4	3	7938	0.08		
"China"	3042838	-17662659	10.5	15	63	2	11.1	5	6416	0.04		
"United Kingdom"	2110649	1344155	7.3	5	22	7	3.2	1	3930	0.06		
"Germany"	1568420	552290	5.4	5	12	3	6.5	3	3376	0.05		
"Netherlands"	1401175	823420	4.9	15	28	8	2.8	5	3706	0.07		
"United Arab Emirates"	1170170	-6203593	4.1	7	7	29	0.9	-2	5715	0.08		
"Spain"	1025085	407944	3.5	1	29	15	1.9	3	3890	0.05		
"Italy"	893795	330786	3.1	4	24	11	2.5	2	2891	0.06		
"Afghanistan"	835873	195391	2.9	-14	-4	147	0.02	-8	2990	0.12		
"Bangladesh"	815613	725190	2.8	2	40	49	0.3	6	4172	0.15		
"Belgium"	715779	283633	2.5	-1	25	12	2.4	3	2709	0.08		
"France"	454735	-54016	1.6	1	15	6	3.2	1	3195	0.06		
"Qatar"	406216	-2266194	1.4	48	175	70	0.1	0	5745	0.06		
"Saudi Arabia"	403997	-3377058	1.4	7	-7	32	0.7	3	5816	0.07		
"Malaysia"	383975	-935087	1.3	29	65	25	1.1	3	5172	0.09		
"Canada"	363726	-159246	1.3	9	28	14	2.2	1	5042	0.26		
"Sri Lanka"	349510	275528	1.2	2	38	85	0.08	-3	4351	0.16		
"Poland"	331272	189990	1.1	12	25	18	1.5	8	3121	0.08		
"Australia"	301158	-369902	1	4	30	24	1.1	1	10262	0.1		
"Turkey"	294443	-240232	1	-1	-18	22	1.2	3	4285	0.05		
"Thailand"	252054	-1448722	0.9	7	78	23	1.2	2	4905	0.09		
"Kenya"	250264	-262500	0.9	-5	-8	80	0.09	2	6680	0.08		
"Portugal"	244418	225796	0.8	5	45	40	0.4	2	2788	0.14		
"Denmark"	234687	125829	0.8	11	12	35	0.6	5	2182	0.08		
"South Africa"	223079	-1522740	0.8	6	22	41	0.4	-1	9230	0.07		
"Japan"	202910	-1983265	0.7	-4	22	4	3.5	1	6256	0.09		
"Viet Nam"	194755	-384343	0.7	-14	42	19	1.5	8	3535	0.19		
"Kazakhstan"	193666	171873	0.7	18	228	58	0.2	6	3017	0.25		
"Korea, Republic of"	191679	-1316844	0.7	-20	4	9	2.8	4	5699	0.09		
"Oman"	176511	-274755	0.6	9	18	83	0.08	-6	5977	0.08		
"Russian Federation"	175721	-363343	0.6	5	22	21	1.3	5	4187	0.09		
"Indonesia"	170726	-4033065	0.6	-7	24	30	0.9	2	5872	0.11		
"Sweden"	166429	-117344	0.6	3	22	31	0.9	3	2128	0.07		
"Philippines"	142765	68050	0.5	1	19	34	0.6	2	4354	0.09		
"Kuwait"	122463	-2156071	0.4	8	9	76	0.1	-3	5837	0.07		
