Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Philippines's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Philippines (%)	
"World"	74619723	-49766774	100	3	17		100	3				
"United States of America"	11856667	3574483	15.9	4	22	1	13.4	3	7938	0.08		
"China"	11530853	-16679096	15.5	12	20	2	11.1	5	6416	0.04		
"Japan"	10722304	-1109617	14.4	1	8	4	3.5	1	6256	0.09		
"Hong Kong, China"	9931547	6509982	13.3	2	9	5	3.3	3	2841	0.22		
"Singapore"	4194783	-3052070	5.6	0	12	16	1.9	3	5773	0.07		
"Thailand"	3450823	-3787583	4.6	6	20	23	1.2	2	4905	0.09		
"Germany"	2938306	780476	3.9	1	24	3	6.5	3	3376	0.05		
"Korea, Republic of"	2573907	-7054583	3.4	0	1	9	2.8	4	5699	0.09		
"Taipei, Chinese"	2525274	-3504475	3.4	0	23	17	1.7	8	5007	0.1		
"Netherlands"	2253693	1642756	3	-4	19	8	2.8	5	3706	0.07		
"Malaysia"	1891939	-3681166	2.5	3	8	25	1.1	3	5172	0.09		
"Viet Nam"	1638760	-2830363	2.2	17	29	19	1.5	8	3535	0.19		
"Indonesia"	864924	-8163045	1.2	-2	91	30	0.9	2	5872	0.11		
"India"	735427	-1657005	1	7	33	10	2.6	2	5793	0.05		
"Mexico"	709736	479593	1	2	30	13	2.3	2	7039	0.24		
"Switzerland"	532438	197315	0.7	10	17	20	1.5	4	3384	0.07		
"Australia"	531051	-1216019	0.7	2	49	24	1.1	1	10262	0.1		
"France"	514317	-538451	0.7	-16	9	6	3.2	1	3195	0.06		
"Canada"	490937	-347822	0.7	-5	26	14	2.2	1	5042	0.26		
"United Kingdom"	474022	-158629	0.6	-3	17	7	3.2	1	3930	0.06		
