Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Poland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Poland (%)	
"World"	317832125	-17619197	100	7	25		100	3				
"Germany"	91052397	20416548	28.6	9	24	3	6.5	3	3376	0.05		
"Czech Republic"	19029902	8304509	6	5	27	28	1	4	2987	0.1		
"France"	18109267	6868572	5.7	8	28	6	3.2	1	3195	0.06		
"United Kingdom"	16137559	10736531	5.1	2	11	7	3.2	1	3930	0.06		
"Italy"	14125728	-2624637	4.4	4	31	11	2.5	2	2891	0.06		
"Netherlands"	13801304	87040	4.3	7	28	8	2.8	5	3706	0.07		
"Russian Federation"	8789388	-11324891	2.8	4	16	21	1.3	5	4187	0.09		
"Sweden"	8754658	3216402	2.8	8	20	31	0.9	3	2128	0.07		
"United States of America"	8682724	-1688871	2.7	7	19	1	13.4	3	7938	0.08		
"Slovakia"	8085895	1742980	2.5	7	28	38	0.5	4	2664	0.07		
"Belgium"	8015422	978589	2.5	11	31	12	2.4	3	2709	0.08		
"Hungary"	7993459	2895451	2.5	6	25	33	0.6	6	2180	0.09		
"Spain"	7776766	518471	2.4	5	21	15	1.9	3	3890	0.05		
"Austria"	7223338	1874166	2.3	11	42	27	1	3	1514	0.18		
"Ukraine"	7054558	2012803	2.2	9	25	48	0.3	7	3255	0.06		
"Romania"	6401917	3176803	2	9	21	37	0.5	6	1891	0.07		
"Lithuania"	5311792	2959264	1.7	12	41	59	0.2	7	1630	0.07		
"Denmark"	5168607	1883355	1.6	5	22	35	0.6	5	2182	0.08		
"China"	3320099	-46342875	1	10	9	2	11.1	5	6416	0.04		
"Norway"	3266668	-41304	1	3	25	39	0.5	3	3470	0.06		
"Switzerland"	3209613	891735	1	9	24	20	1.5	4	3384	0.07		
"Turkey"	2929408	-3227787	0.9	-4	24	22	1.2	3	4285	0.05		
"Finland"	2606369	219187	0.8	7	28	44	0.4	3	2842	0.07		
"Area Nes"	2107573	2106612	0.7	149	179							
"Latvia"	2015431	1391103	0.6	7	28	77	0.1	7	1575	0.08		
"Belarus"	1946155	262487	0.6	6	14	61	0.2	2	2268	0.23		
"Portugal"	1895851	751462	0.6	17	41	40	0.4	2	2788	0.14		
"Mexico"	1844796	1022186	0.6	23	129	13	2.3	2	7039	0.24		
"Estonia"	1642828	1192852	0.5	6	24	73	0.1	6	2314	0.06		
"Bulgaria"	1639029	695212	0.5	8	34	57	0.2	6	2237	0.05		
"Ireland"	1607993	-148905	0.5	11	55	36	0.5	4	3265	0.1		
"Slovenia"	1469517	277815	0.5	10	51	55	0.2	10	2404	0.07		
"Canada"	1378862	787367	0.4	-2	31	14	2.2	1	5042	0.26		
"Greece"	1362632	574050	0.4	10	23	45	0.3	4	2847	0.05		
"Croatia"	1323037	1024886	0.4	11	34	63	0.2	6	1362	0.07		
"Serbia"	1187349	349990	0.4	3	29	65	0.2	9	2497	0.06		
"India"	1089434	-2087104	0.3	5	79	10	2.6	2	5793	0.05		
"Australia"	1067871	512782	0.3	12	21	24	1.1	1	10262	0.1		
"Israel"	967097	551103	0.3	10	35	42	0.4	4	5483	0.07		
"Saudi Arabia"	882878	-1641746	0.3	9	-17	32	0.7	3	5816	0.07		
"Korea, Republic of"	863659	-6787617	0.3	11	23	9	2.8	4	5699	0.09		
"Japan"	830165	-4246761	0.3	9	20	4	3.5	1	6256	0.09		
"Kazakhstan"	789431	-168308	0.2	17	-14	58	0.2	6	3017	0.25		
"South Africa"	722328	234845	0.2	2	0	41	0.4	-1	9230	0.07		
"Algeria"	704779	646005	0.2	16	62	64	0.2	-8	4584	0.07		
"United Arab Emirates"	638240	423551	0.2	3	16	29	0.9	-2	5715	0.08		
"Brazil"	627182	-1041944	0.2	7	47	26	1	6	10879	0.09		
"Morocco"	611471	-257548	0.2	20	49	52	0.3	4	4316	0.07		
"Luxembourg"	507687	98979	0.2	6	28	71	0.1	3	1488	0.14		
"Viet Nam"	480366	-3593338	0.2	13	25	19	1.5	8	3535	0.19		
"Egypt"	400111	91878	0.1	9	8	46	0.3	-1	5219	0.05		
"Hong Kong, China"	375371	215910	0.1	-3	-17	5	3.3	3	2841	0.22		
"Thailand"	335320	-881723	0.1	3	41	23	1.2	2	4905	0.09		
"Moldova, Republic of"	297151	51207	0.1	10	13	118	0.03	8	2317	0.08		
"Marshall Islands"	292288	158176	0.1	144	223	91	0.06	-1	7455	0.18		
"Singapore"	288522	-505577	0.1	5	-7	16	1.9	3	5773	0.07		
"Bosnia and Herzegovina"	288263	139329	0.1	-2	41	94	0.06	3	2228	0.07		
"Antigua and Barbuda"	283901	256028	0.1	9	148	174	0	1	6334	0.27		
"Cyprus"	283144	186441	0.1	14	10	105	0.05	-1	3118	0.09		
"Philippines"	280480	-290565	0.1	46	40	34	0.6	2	4354	0.09		
"Malaysia"	236179	-1396743	0.1	11	35	25	1.1	3	5172	0.09		
"Chile"	213936	-3824	0.1	6	48	43	0.4	6	11582	0.13		
"New Zealand"	212407	111867	0.1	4	60	56	0.2	3	11141	0.09		
"Bahamas"	204006	57702	0.1	-13	-3	115	0.03	-8	6248	0.19		
"Ship stores and bunkers"	190444	190052	0.1	13	78	75	0.1	-11		0.16		
"Uzbekistan"	185683	80379	0.1	17	12	74	0.1	16	3412	0.12		
"Liberia"	184596	-44574	0.1	86	29	87	0.07	17	11608	0.19		
"Taipei, Chinese"	167539	-2237553	0.1	3	-25	17	1.7	8	5007	0.1		
"Macedonia, North"	157900	-130839	0	2	30	103	0.05	8	1348	0.09		
"Pakistan"	148111	-563340	0	3	63	47	0.3	2	4850	0.11		
"Georgia"	147745	105400	0	0	23	113	0.04	-2	2513	0.09		
"Iraq"	147486	69280	0	12	1	62	0.2	3	4107	0.18		
"Ghana"	144052	86159	0	32	39	82	0.08	8	8888	0.18		
"Tunisia"	141020	-167038	0	0	13	78	0.10	-1	3411	0.06		
"Iceland"	124910	-322413	0	-9	30	112	0.04	-1	4251	0.05		
"Indonesia"	122942	-1075318	0	1	-21	30	0.9	2	5872	0.11		
"Qatar"	116129	-987122	0	7	29	70	0.1	0	5745	0.06		
"Nigeria"	110452	-816579	0	-2	11	53	0.2	17	7792	0.1		
"Malta"	107840	43371	0	17	68	120	0.03	1	3249	0.08		
"Panama"	103148	23404	0	13	9	60	0.2	1	8657	0.12		
"Albania"	102241	64844	0	12	48	121	0.03	6	1886	0.13		
"Kuwait"	97977	86574	0	3	-3	76	0.1	-3	5837	0.07		
"Colombia"	96772	-96756	0	4	53	51	0.3	4	8915	0.13		
"Azerbaijan"	95413	87420	0	9	-11	98	0.05	5	3712	0.09		
"Jordan"	92889	79859	0	2	5	84	0.08	0	5167	0.07		
"Argentina"	92824	-805623	0	-16	40	50	0.3	-5	10631	0.1		
"Peru"	83521	-98003	0	8	-8	54	0.2	3	10420	0.13		
"Mongolia"	81399	79272	0	9	54	125	0.03	8	3267	0.22		
"Oman"	79571	43736	0	-14	80	83	0.08	-6	5977	0.08		
"Congo, Democratic Republic of the"	74760	71774	0	41	70	111	0.04	13	6479	0.14		
"Bangladesh"	72721	-2872846	0	4	66	49	0.3	6	4172	0.15		
"Libya, State of"	70331	70300	0	20	28	89	0.07	12	3475	0.08		
"Lebanon"	70120	54449	0	-8	41	97	0.06	-12	3592	0.06		
"Senegal"	60782	43411	0	-5	-26	110	0.04	4	6632	0.05		
"Iran, Islamic Republic of"	60169	6786	0	-22	77	72	0.1	-18	5612	0.13		
"Côte d'Ivoire"	52494	-140905	0	15	-10	93	0.06	9	6793	0.08		
"Mozambique"	47161	-111697	0	17	16	108	0.04	8	6196	0.1		
"Armenia"	43642	19500	0	-2	14	131	0.02	6	3323	0.15		
"Dominican Republic"	41031	-26530	0	25	45	67	0.1	5	6446	0.22		
"Guinea"	40746	34126	0	8	-3	135	0.02	7	9140	0.19		
"Faroe Islands"	39229	-11331	0	-1	9	172	0	7	1404	0.27		
"Montenegro"	36135	16910	0	-7	-2	152	0.01	0	2382	0.08		
