Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Portugal's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Portugal (%)	
"World"	75074828	-22520022	100	2	22		100	3				
"Spain"	20028538	-11947002	26.7	3	28	15	1.9	3	3890	0.05		
"France"	9849164	3327463	13.1	3	18	6	3.2	1	3195	0.06		
"Germany"	8276355	-3910698	11	2	13	3	6.5	3	3376	0.05		
"United States of America"	4198068	1840148	5.6	4	37	1	13.4	3	7938	0.08		
"United Kingdom"	3913961	2783900	5.2	-4	12	7	3.2	1	3930	0.06		
"Italy"	3372700	-1576011	4.5	7	25	11	2.5	2	2891	0.06		
"Netherlands"	2941866	-2290960	3.9	1	28	8	2.8	5	3706	0.07		
"Belgium"	1897432	-1153488	2.5	4	35	12	2.4	3	2709	0.08		
"Angola"	1126150	1030797	1.5	-17	13	100	0.05	-11	7692	0.06		
"Poland"	1085503	-685443	1.4	7	29	18	1.5	8	3121	0.08		
"Morocco"	1026799	713548	1.4	2	43	52	0.3	4	4316	0.07		
"Sweden"	882496	-128539	1.2	9	25	31	0.9	3	2128	0.07		
"Brazil"	838366	-2173950	1.1	-7	1	26	1	6	10879	0.09		
"China"	810857	-3788885	1.1	-6	25	2	11.1	5	6416	0.04		
"Ship stores and bunkers"	795507	795507	1.1	-13	27	75	0.1	-11		0.16		
"Switzerland"	753029	308639	1	3	0	20	1.5	4	3384	0.07		
"Turkey"	730417	-660236	1	12	16	22	1.2	3	4285	0.05		
"Denmark"	602621	102061	0.8	9	9	35	0.6	5	2182	0.08		
"Czech Republic"	570319	-113384	0.8	8	29	28	1	4	2987	0.1		
"Romania"	518678	142243	0.7	4	-4	37	0.5	6	1891	0.07		
"Finland"	513499	240890	0.7	12	61	44	0.4	3	2842	0.07		
"Ireland"	493344	-438016	0.7	10	-12	36	0.5	4	3265	0.1		
"Gibraltar"	483828	483779	0.6	21	127	114	0.03	-5	2572	0.09		
"Slovakia"	455507	200739	0.6	7	11	38	0.5	4	2664	0.07		
"Hungary"	447366	-234994	0.6	13	29	33	0.6	6	2180	0.09		
"Austria"	431754	-107616	0.6	-3	-5	27	1	3	1514	0.18		
"Canada"	416529	203665	0.6	3	16	14	2.2	1	5042	0.26		
"Israel"	411439	312904	0.5	15	31	42	0.4	4	5483	0.07		
"Mexico"	382193	303164	0.5	0	33	13	2.3	2	7039	0.24		
"Cabo Verde"	355722	345841	0.5	4	3	181	0	4	5196	0.21		
"Japan"	351599	-360490	0.5	21	27	4	3.5	1	6256	0.09		
"Norway"	291079	147459	0.4	6	54	39	0.5	3	3470	0.06		
"South Africa"	259995	61641	0.3	2	54	41	0.4	-1	9230	0.07		
"Australia"	258944	226154	0.3	8	54	24	1.1	1	10262	0.1		
"Algeria"	241464	-80459	0.3	-12	32	64	0.2	-8	4584	0.07		
"Mozambique"	231385	183476	0.3	2	1	108	0.04	8	6196	0.1		
"Greece"	230013	34925	0.3	4	29	45	0.3	4	2847	0.05		
"Russian Federation"	210994	-1052102	0.3	-2	4	21	1.3	5	4187	0.09		
"Egypt"	205361	9688	0.3	10	7	46	0.3	-1	5219	0.05		
"Korea, Republic of"	194728	-437423	0.3	10	-4	9	2.8	4	5699	0.09		
"Hong Kong, China"	179866	53414	0.2	0	35	5	3.3	3	2841	0.22		
"United Arab Emirates"	172068	-12953	0.2	-2	6	29	0.9	-2	5715	0.08		
"Tunisia"	170014	120771	0.2	-17	76	78	0.10	-1	3411	0.06		
"India"	169055	-902101	0.2	3	49	10	2.6	2	5793	0.05		
"Taipei, Chinese"	158576	-397457	0.2	-12	-35	17	1.7	8	5007	0.1		
"Chile"	149216	89315	0.2	-2	23	43	0.4	6	11582	0.13		
"Bulgaria"	147900	-4492	0.2	6	59	57	0.2	6	2237	0.05		
"Luxembourg"	133759	44678	0.2	-1	8	71	0.1	3	1488	0.14		
"Lithuania"	131819	38967	0.2	24	44	59	0.2	7	1630	0.07		
"Singapore"	129597	-78952	0.2	15	26	16	1.9	3	5773	0.07		
"Saudi Arabia"	126213	-271090	0.2	-4	-5	32	0.7	3	5816	0.07		
"Argentina"	111770	-60607	0.1	-3	50	50	0.3	-5	10631	0.1		
"Guinea-Bissau"	109143	108960	0.1	-2	30	195	0	2	5802	0.16		
"Slovenia"	95279	-51010	0.1	3	8	55	0.2	10	2404	0.07		
"Viet Nam"	83484	-446717	0.1	17	108	19	1.5	8	3535	0.19		
"Colombia"	73391	45828	0.1	5	31	51	0.3	4	8915	0.13		
"Sao Tome and Principe"	67112	64072	0.1	-2	17	210	0	-3	6155	0.31		
"Croatia"	59450	-4048	0.1	6	25	63	0.2	6	1362	0.07		
"Jordan"	58868	46840	0.1	5	27	84	0.08	0	5167	0.07		
"Côte d'Ivoire"	58544	13875	0.1	-7	-1	93	0.06	9	6793	0.08		
"Latvia"	55713	30847	0.1	17	32	77	0.1	7	1575	0.08		
"Estonia"	54995	24486	0.1	10	61	73	0.1	6	2314	0.06		
"New Zealand"	51260	28171	0.1	19	57	56	0.2	3	11141	0.09		
"Cyprus"	50733	39503	0.1	-4	15	105	0.05	-1	3118	0.09		
"Nigeria"	49307	-1632396	0.1	20	29	53	0.2	17	7792	0.1		
