Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Qatar's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Qatar (%)	
"Total"	77843843	52214104	100	0	44		100	3				
"Japan"	11640562	10718534	15	-4	27	4	3.5	1	6256	0.09		
"Korea, Republic of"	11610985	11190844	14.9	-7	54	9	2.8	4	5699	0.09		
"India"	11544869	9829964	14.8	5	42	10	2.6	2	5793	0.05		
"China"	11308225	7845492	14.5	11	37	2	11.1	5	6416	0.04		
"Singapore"	5011007	4256316	6.4	-7	42	16	1.9	3	5773	0.07		
"Thailand"	3381919	3056204	4.3	0	69	23	1.2	2	4905	0.09		
"Taipei, Chinese"	2717970	2610718	3.5	-2	19	17	1.7	8	5007	0.1		
"Pakistan"	2672410	2266194	3.4	5	80	47	0.3	2	4850	0.11		
"Italy"	2425165	49302	3.1	7	107	11	2.5	2	2891	0.06		
"United Kingdom"	2291111	-46448	2.9	7	98	7	3.2	1	3930	0.06		
"United States of America"	1905634	-681966	2.4	6	56	1	13.4	3	7938	0.08		
"Belgium"	1623922	1155277	2.1	11	301	12	2.4	3	2709	0.08		
"Poland"	1103251	987122	1.4	10	105	18	1.5	8	3121	0.08		
"Brazil"	789275	505012	1	19	57	26	1	6	10879	0.09		
"Spain"	757562	345013	1	-10	76	15	1.9	3	3890	0.05		
"France"	734743	-381274	0.9	-1	45	6	3.2	1	3195	0.06		
"Indonesia"	675779	467421	0.9	-11	-5	30	0.9	2	5872	0.11		
"Hong Kong, China"	666725	183971	0.9	34	-3	5	3.3	3	2841	0.22		
"Turkey"	568198	-584227	0.7	15	88	22	1.2	3	4285	0.05		
"Netherlands"	494151	-234425	0.6	10	81	8	2.8	5	3706	0.07		
"Germany"	477378	-1093500	0.6	17	-60	3	6.5	3	3376	0.05		
"Argentina"	463009	440176	0.6	-13	333	50	0.3	-5	10631	0.1		
"Australia"	408315	123938	0.5	7	125	24	1.1	1	10262	0.1		
"Malaysia"	274858	-84425	0.4	-20	18	25	1.1	3	5172	0.09		
"South Africa"	268321	192231	0.3	-8	199	41	0.4	-1	9230	0.07		
"Philippines"	194135	147731	0.2	-20	-2	34	0.6	2	4354	0.09		
"Greece"	192077	85976	0.2	35	357	45	0.3	4	2847	0.05		
"Saudi Arabia"	166592	151826	0.2	-12		32	0.7	3	5816	0.07		
"Morocco"	156502	126498	0.2	32	108	52	0.3	4	4316	0.07		
"Canada"	100266	-7017	0.1	48	63	14	2.2	1	5042	0.26		
"Portugal"	99303	56633	0.1	-20	9	40	0.4	2	2788	0.14		
"Mexico"	94955	48152	0.1	20	152	13	2.3	2	7039	0.24		
"Denmark"	92549	-29614	0.1	-11	-32	35	0.6	5	2182	0.08		
"Nigeria"	75003	74493	0.1	11	4	53	0.2	17	7792	0.1		
"Croatia"	74169	50686	0.1	148	24330	63	0.2	6	1362	0.07		
"Brunei Darussalam"	65921	65642	0.1	110	2929707	109	0.04	26	5185	0.11		
"Kenya"	55873	27595	0.1	14	-8	80	0.09	2	6680	0.08		
"Sweden"	51848	-299331	0.1	-23	-76	31	0.9	3	2128	0.07		
"Russian Federation"	51457	-72726	0.1	17	40	21	1.3	5	4187	0.09		
"Madagascar"	48843	48644	0.1	-11	483	138	0.02	2	7339	0.08		
"Tanzania, United Republic of"	40823	15509	0.1	27	26	102	0.05	7	6633	0.1		
"Switzerland"	40636	-692982	0.1	-19	-91	20	1.5	4	3384	0.07		
"Zambia"	39639	39615	0.1	118	216	119	0.03	-9	5447	0.14		
"Ecuador"	34743	19606	0	71	23121	69	0.1	3	9174	0.12		
"Egypt"	32964	28718	0	-65	37	46	0.3	-1	5219	0.05		
"Finland"	28065	-334	0	-18	124	44	0.4	3	2842	0.07		
"Tunisia"	27020	12171	0	1	60	78	0.10	-1	3411	0.06		
"Norway"	26814	-125023	0	67	-42	39	0.5	3	3470	0.06		
"Peru"	25982	25622	0	2	213	54	0.2	3	10420	0.13		
"New Zealand"	25795	4531	0	-25	-52	56	0.2	3	11141	0.09		
"Ukraine"	17410	-122809	0	8	131	48	0.3	7	3255	0.06		
"Colombia"	17167	12472	0	0	1403	51	0.3	4	8915	0.13		
"Bulgaria"	16198	-2694	0	78	212	57	0.2	6	2237	0.05		
"Paraguay"	13347	10042	0	61	15465	92	0.06	0	7311	0.15		
"Czech Republic"	12912	-108525	0	-8	90	28	1	4	2987	0.1		
"Angola"	12357	12109	0	24	18	100	0.05	-11	7692	0.06		
"Lithuania"	10392	5983	0	4	151	59	0.2	7	1630	0.07		
"Romania"	10150	-49859	0	25	138	37	0.5	6	1891	0.07		
"Benin"	9173	8394	0	457	17605	149	0.01	-2	6481	0.07		
"Togo"	7450	7450	0	-9	31	153	0.01	10	7318	0.08		
"Senegal"	6307	6307	0	19	-44	110	0.04	4	6632	0.05		
"Ireland"	5579	-87703	0	5	120	36	0.5	4	3265	0.1		
"Guatemala"	5026	-841	0	14	204	68	0.1	7	5828	0.15		
"Serbia"	4490	-4221	0	54	1057	65	0.2	9	2497	0.06		
"Ethiopia"	4277	-7473	0	-9	25	90	0.07	1	6305	0.11		
"Macao, China"	3861	3861	0	74	18286	81	0.09	15		0.17		
"Austria"	3785	-133536	0	-45	220	27	1	3	1514	0.18		
"Bosnia and Herzegovina"	3048	745	0	4	-49	94	0.06	3	2228	0.07		
"Cambodia"	2441	2117	0	6	-10	66	0.1	16	2651	0.18		
"Slovenia"	2024	-33691	0	5	36	55	0.2	10	2404	0.07		
"Mozambique"	1926	873	0	-24	27	108	0.04	8	6196	0.1		
"Mauritius"	1877	1607	0	-7	48	133	0.02	-2	7320	0.08		
"El Salvador"	1664	1583	0		1098	88	0.07	9	4914	0.15		
"Georgia"	1632	-162	0	14	-37	113	0.04	-2	2513	0.09		
"Hungary"	1595	-58027	0	93	-97	33	0.6	6	2180	0.09		
"Guyana"	1317	1304	0	415	1571	144	0.02	13	11175	0.21		
"Maldives"	1087	1082	0	-45	543	151	0.01	-3	4478	0.08		
"Nicaragua"	993	987	0	111	546	104	0.05	4	5888	0.1		
"Malta"	977	-7813	0	-23	-29	120	0.03	1	3249	0.08		
"Cyprus"	816	-6031	0	-19	-22	105	0.05	-1	3118	0.09		
"Honduras"	737	737	0	-28		99	0.05	4	6104	0.16		
"Mauritania"	605	605	0	43	112	146	0.02	1	5817	0.07		
"Dominican Republic"	562	560	0	9	1165	67	0.1	5	6446	0.22		
"Moldova, Republic of"	530	-337	0	75	89	118	0.03	8	2317	0.08		
"Congo"	428	380	0	19	111	154	0.01	-18	6851	0.07		
"Bolivia, Plurinational State of"	402	199	0	116	1814	106	0.04	-3	7978	0.11		
"Chile"	367	-7595	0	-51	946	43	0.4	6	11582	0.13		
"Burkina Faso"	366	337	0	-9	-43	136	0.02	5	6109	0.05		
"Armenia"	346	-1488	0	-18	6	131	0.02	6	3323	0.15		
"Fiji"	343	131	0	-12	-47	157	0.01	-7	7384	0.12		
"Slovakia"	303	-102622	0	-30	-5	38	0.5	4	2664	0.07		
"Azerbaijan"	147	-1343	0	66	-88	98	0.05	5	3712	0.09		
"Luxembourg"	38	-9832	0	-18	-62	71	0.1	3	1488	0.14		
"Latvia"	37	-6041	0	4	-54	77	0.1	7	1575	0.08		
"Iceland"	11	-64	0	34	97	112	0.04	-1	4251	0.05		
