Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Romania's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Romania (%)	
"World"	87485983	-28922070	100	3	24		100	3				
"Germany"	18129370	-5260289	20.7	1	13	3	6.5	3	3376	0.05		
"Italy"	9109192	-1104315	10.4	1	21	11	2.5	2	2891	0.06		
"France"	5642342	747159	6.4	2	19	6	3.2	1	3195	0.06		
"Hungary"	5019384	-2972044	5.7	8	42	33	0.6	6	2180	0.09		
"Poland"	3521727	-3732617	4	10	33	18	1.5	8	3121	0.08		
"Bulgaria"	3453489	-1338132	3.9	8	34	57	0.2	6	2237	0.05		
"Netherlands"	3035334	-1546817	3.5	13	21	8	2.8	5	3706	0.07		
"Turkey"	3029390	-2103066	3.5	6	30	22	1.2	3	4285	0.05		
"Czech Republic"	2758817	-561043	3.2	6	26	28	1	4	2987	0.1		
"Spain"	2634717	-267173	3	3	26	15	1.9	3	3890	0.05		
"United Kingdom"	2479097	1427300	2.8	-6	5	7	3.2	1	3930	0.06		
"Austria"	2234116	-1467646	2.6	5	33	27	1	3	1514	0.18		
"Slovakia"	1884286	-456620	2.2	9	24	38	0.5	4	2664	0.07		
"Belgium"	1877224	-984036	2.1	6	35	12	2.4	3	2709	0.08		
"United States of America"	1732116	912415	2	6	48	1	13.4	3	7938	0.08		
"Moldova, Republic of"	1528231	674718	1.7	6	31	118	0.03	8	2317	0.08		
"Russian Federation"	1180055	-2548238	1.3	-4	27	21	1.3	5	4187	0.09		
"China"	1074810	-6232045	1.2	5	46	2	11.1	5	6416	0.04		
"Greece"	1048962	-591174	1.2	-3	32	45	0.3	4	2847	0.05		
"Serbia"	1045927	13676	1.2	3	27	65	0.2	9	2497	0.06		
"Egypt"	922013	649533	1.1	7	106	46	0.3	-1	5219	0.05		
"Ukraine"	809139	-776948	0.9	9	25	48	0.3	7	3255	0.06		
"Sweden"	739060	135893	0.8	2	22	31	0.9	3	2128	0.07		
"Morocco"	671972	353578	0.8	-1	30	52	0.3	4	4316	0.07		
"Israel"	663553	482774	0.8	12	37	42	0.4	4	5483	0.07		
"Norway"	639050	552222	0.7	17	21	39	0.5	3	3470	0.06		
"Switzerland"	603925	-826314	0.7	10	-1	20	1.5	4	3384	0.07		
"Slovenia"	511461	-415579	0.6	1	20	55	0.2	10	2404	0.07		
"Jordan"	473392	470108	0.5	15	66	84	0.08	0	5167	0.07		
"Korea, Republic of"	429815	-180429	0.5	11	73	9	2.8	4	5699	0.09		
"Portugal"	423969	-66997	0.5	3	37	40	0.4	2	2788	0.14		
"Japan"	421802	-2105	0.5	16	-16	4	3.5	1	6256	0.09		
"Iran, Islamic Republic of"	406596	326351	0.5	-18	596	72	0.1	-18	5612	0.13		
"Denmark"	399143	-106556	0.5	6	16	35	0.6	5	2182	0.08		
"Special categories"	384285	-341966	0.4	-7	20							
"Saudi Arabia"	356400	322201	0.4	6	-20	32	0.7	3	5816	0.07		
"Croatia"	353700	11057	0.4	10	23	63	0.2	6	1362	0.07		
"Canada"	308135	200240	0.4	1	194	14	2.2	1	5042	0.26		
"Tunisia"	297002	83102	0.3	28	75	78	0.10	-1	3411	0.06		
"United Arab Emirates"	292970	226226	0.3	-4	32	29	0.9	-2	5715	0.08		
"Macedonia, North"	281401	155533	0.3	2	34	103	0.05	8	1348	0.09		
"Finland"	252217	59752	0.3	3	8	44	0.4	3	2842	0.07		
"Mexico"	228955	122034	0.3	2	12	13	2.3	2	7039	0.24		
"India"	224986	-403987	0.3	-11	36	10	2.6	2	5793	0.05		
"South Africa"	215690	173678	0.2	-5	35	41	0.4	-1	9230	0.07		
"Lithuania"	199934	-2757	0.2	19	58	59	0.2	7	1630	0.07		
"Ireland"	197223	-360922	0.2	5	41	36	0.5	4	3265	0.1		
"Gibraltar"	178942	178940	0.2	51	5	114	0.03	-5	2572	0.09		
"Georgia"	178031	127713	0.2	-9	86	113	0.04	-2	2513	0.09		
"Cyprus"	170558	121038	0.2	23	71	105	0.05	-1	3118	0.09		
"Lebanon"	168593	164559	0.2	-14	-22	97	0.06	-12	3592	0.06		
"Brazil"	167381	-238715	0.2	-7	12	26	1	6	10879	0.09		
"Namibia"	158798	158772	0.2	409	77029	126	0.03	-1	3757	0.37		
"Iraq"	144984	-227533	0.2	18	141	62	0.2	3	4107	0.18		
"Sudan"	118010	117951	0.1	17	48	122	0.03	-2		0.13		
"Bosnia and Herzegovina"	115887	-4771	0.1	5	32	94	0.06	3	2228	0.07		
"Viet Nam"	113465	-132066	0.1	15	137	19	1.5	8	3535	0.19		
"Estonia"	106249	46444	0.1	7	52	73	0.1	6	2314	0.06		
"Libya, State of"	98943	83493	0.1	-16	-2	89	0.07	12	3475	0.08		
"Australia"	90559	42729	0.1	3	-1	24	1.1	1	10262	0.1		
"Thailand"	80552	-189304	0.1	7	6	23	1.2	2	4905	0.09		
"Colombia"	78234	65782	0.1	-11	-10	51	0.3	4	8915	0.13		
"Albania"	77529	40598	0.1	-11	27	121	0.03	6	1886	0.13		
"Pakistan"	74298	24330	0.1	24	11	47	0.3	2	4850	0.11		
"Azerbaijan"	66637	-117208	0.1	10	40	98	0.05	5	3712	0.09		
"Latvia"	65135	13259	0.1	33	-13	77	0.1	7	1575	0.08		
"Hong Kong, China"	64031	37576	0.1	-8	19	5	3.3	3	2841	0.22		
"Ship stores and bunkers"	63386	63386	0.1		63	75	0.1	-11		0.16		
"Qatar"	60009	49859	0.1	25	2	70	0.1	0	5745	0.06		
"Algeria"	57064	11907	0.1	-41	-38	64	0.2	-8	4584	0.07		
"Ethiopia"	53769	52077	0.1	-12	535	90	0.07	1	6305	0.11		
"Malaysia"	46111	-154788	0.1	30	40	25	1.1	3	5172	0.09		
"Kuwait"	45906	45607	0.1	-2	11	76	0.1	-3	5837	0.07		
"Singapore"	45561	-21917	0.1	6	-16	16	1.9	3	5773	0.07		
"Chile"	41386	37443	0	-7	57	43	0.4	6	11582	0.13		
"Belarus"	39538	-100947	0	-1	1	61	0.2	2	2268	0.23		
"Luxembourg"	37949	-101567	0	15	27	71	0.1	3	1488	0.14		
"Taipei, Chinese"	36467	-327455	0	-7	9	17	1.7	8	5007	0.1		
"Nigeria"	36225	30989	0	1	-13	53	0.2	17	7792	0.1		
"Sri Lanka"	36122	23759	0	20	2400	85	0.08	-3	4351	0.16		
"New Zealand"	35205	28110	0	19	-16	56	0.2	3	11141	0.09		
"Montenegro"	29812	24855	0	-7	35	152	0.01	0	2382	0.08		
"Philippines"	28614	-21366	0	57	-79	34	0.6	2	4354	0.09		
"Oman"	26415	16193	0	-8	-7	83	0.08	-6	5977	0.08		
"Argentina"	24763	-99214	0	-16	62	50	0.3	-5	10631	0.1		
"Kenya"	19189	13224	0	19	284	80	0.09	2	6680	0.08		
"Kazakhstan"	18965	-1722430	0	-10	-66	58	0.2	6	3017	0.25		
"Syrian Arab Republic"	18537	17221	0	-8	-33	139	0.02	-3	2496	0.27		
"Uzbekistan"	17905	5318	0	9	9	74	0.1	16	3412	0.12		
"Yemen"	16406	16232	0	-15	65	107	0.04	11	5706	0.11		
"Malta"	14128	-66562	0	-12	5	120	0.03	1	3249	0.08		
"Indonesia"	13861	-133043	0	-12	8	30	0.9	2	5872	0.11		
"Ecuador"	13230	7930	0	-3	190	69	0.1	3	9174	0.12		
"Palestine, State of"	12495	12465	0	33	469	176	0	8	3026	0.1		
"Côte d'Ivoire"	12467	-12158	0	3	81	93	0.06	9	6793	0.08		
