Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Russian Federation's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Russian Federation (%)	
"World"	492314339	198812667	100	4	46		100	3				
"China"	68679248	-4014051	14	11	40	2	11.1	5	6416	0.04		
"Netherlands"	42145025	37860761	8.6	-2	70	8	2.8	5	3706	0.07		
"Germany"	29645676	2294121	6	-3	59	3	6.5	3	3376	0.05		
"Turkey"	26426295	19911786	5.4	5	66	22	1.2	3	4285	0.05		
"Belarus"	23130752	7495219	4.7	1	45	61	0.2	2	2268	0.23		
"United Kingdom"	22274620	17807752	4.5	31	-4	7	3.2	1	3930	0.06		
"Italy"	19285527	7240762	3.9	2	91	11	2.5	2	2891	0.06		
"Kazakhstan"	18493830	11361483	3.8	9	32	58	0.2	6	3017	0.25		
"United States of America"	17747414	482023	3.6	9	62	1	13.4	3	7938	0.08		
"Korea, Republic of"	16894810	3907888	3.4	3	36	9	2.8	4	5699	0.09		
"Poland"	16722434	10913830	3.4	2	75	18	1.5	8	3121	0.08		
"Japan"	10726012	1598718	2.2	-3	18	4	3.5	1	6256	0.09		
"France"	9910302	-2301162	2	6	108	6	3.2	1	3195	0.06		
"Finland"	9655806	6090260	2	-2	36	44	0.4	3	2842	0.07		
"India"	9128108	4700398	1.9	4	57	10	2.6	2	5793	0.05		
"Belgium"	8671672	6148621	1.8	0	51	12	2.4	3	2709	0.08		
"Ukraine"	8128983	3973651	1.7	-4	29	48	0.3	7	3255	0.06		
"Brazil"	5261220	3038388	1.1	18	164	26	1	6	10879	0.09		
"Uzbekistan"	5203921	3498475	1.1	19	12	74	0.1	16	3412	0.12		
"Slovakia"	5101155	3151373	1	7	68	38	0.5	4	2664	0.07		
"United Arab Emirates"	5081599	4805292	1	37	75	29	0.9	-2	5715	0.08		
"Lithuania"	4577372	3922155	0.9	4	91	59	0.2	7	1630	0.07		
"Latvia"	4295657	3799005	0.9	-6	33	77	0.1	7	1575	0.08		
"Greece"	4194873	3896178	0.9	-1	70	45	0.3	4	2847	0.05		
"Egypt"	4177312	3585356	0.8	-13	4	46	0.3	-1	5219	0.05		
"Estonia"	4131260	3657422	0.8	18	59	73	0.1	6	2314	0.06		
"Czech Republic"	4016632	394514	0.8	-6	65	28	1	4	2987	0.1		
"Spain"	3844114	338029	0.8	8	130	15	1.9	3	3890	0.05		
"Hungary"	3719449	1451288	0.8	-3	40	33	0.6	6	2180	0.09		
"Taipei, Chinese"	3517715	1125410	0.7	-3	14	17	1.7	8	5007	0.1		
"Mexico"	3402926	2022560	0.7	11	199	13	2.3	2	7039	0.24		
"Romania"	3343097	1752761	0.7	4	61	37	0.5	6	1891	0.07		
"Austria"	3228871	571282	0.7	4	95	27	1	3	1514	0.18		
"Iran, Islamic Republic of"	3068188	2095842	0.6	20	116	72	0.1	-18	5612	0.13		
"Algeria"	2989447	2971180	0.6	-13	1	64	0.2	-8	4584	0.07		
"Denmark"	2984394	1733288	0.6	-8	75	35	0.6	5	2182	0.08		
"Switzerland"	2821568	-573863	0.6	-11	-2	20	1.5	4	3384	0.07		
"Bulgaria"	2669627	2099142	0.5	-5	35	57	0.2	6	2237	0.05		
"Malta"	2359787	2334627	0.5	-8	4	120	0.03	1	3249	0.08		
"Azerbaijan"	2323836	1291851	0.5	6	12	98	0.05	5	3712	0.09		
"Viet Nam"	2238516	-2654808	0.5	-1	38	19	1.5	8	3535	0.19		
"Kyrgyzstan"	2156019	1807920	0.4	8	48	127	0.03	1	2892	0.2		
"Saudi Arabia"	1916509	1581146	0.4	28	31	32	0.7	3	5816	0.07		
"Armenia"	1892697	1181136	0.4	11	14	131	0.02	6	3323	0.15		
"Mongolia"	1817468	1774382	0.4	5	31	125	0.03	8	3267	0.22		
"Norway"	1814792	911648	0.4	18	67	39	0.5	3	3470	0.06		
"Moldova, Republic of"	1755127	1339227	0.4	13	84	118	0.03	8	2317	0.08		
"Israel"	1736220	889267	0.4	-3	30	42	0.4	4	5483	0.07		
"Bangladesh"	1721244	447981	0.3	27	13	49	0.3	6	4172	0.15		
"Singapore"	1670154	1068819	0.3	-20	45	16	1.9	3	5773	0.07		
"Hong Kong, China"	1615976	1064078	0.3	26	-17	5	3.3	3	2841	0.22		
"Malaysia"	1429731	-392726	0.3	18	36	25	1.1	3	5172	0.09		
"Serbia"	1284844	227501	0.3	6	36	65	0.2	9	2497	0.06		
"Georgia"	1257626	597345	0.3	4	21	113	0.04	-2	2513	0.09		
