Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Serbia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Serbia (%)	
"World"	25563527	-8227828	100	9	32		100	3				
"Germany"	3243177	-1214549	12.7	10	29	3	6.5	3	3376	0.05		
"Italy"	2177247	-549367	8.5	-4	34	11	2.5	2	2891	0.06		
"Bosnia and Herzegovina"	1845772	926880	7.2	5	36	94	0.06	3	2228	0.07		
"Romania"	1410491	409443	5.5	13	12	37	0.5	6	1891	0.07		
"Hungary"	1289003	-133710	5	18	41	33	0.6	6	2180	0.09		
"Russian Federation"	996156	-809901	3.9	-1	9	21	1.3	5	4187	0.09		
"China"	971750	-3337042	3.8	99	163	2	11.1	5	6416	0.04		
"Montenegro"	969248	875801	3.8	2	20	152	0.01	0	2382	0.08		
"Macedonia, North"	962908	600286	3.8	9	34	103	0.05	8	1348	0.09		
"Poland"	895778	-212005	3.5	20	40	18	1.5	8	3121	0.08		
"Czech Republic"	887709	101401	3.5	19	23	28	1	4	2987	0.1		
"Bulgaria"	828666	119498	3.2	3	33	57	0.2	6	2237	0.05		
"Slovenia"	810550	-38954	3.2	7	35	55	0.2	10	2404	0.07		
"Croatia"	801348	23320	3.1	5	24	63	0.2	6	1362	0.07		
"Austria"	755871	-89037	3	11	39	27	1	3	1514	0.18		
"France"	718458	-166011	2.8	8	34	6	3.2	1	3195	0.06		
"Slovakia"	522354	107341	2	8	52	38	0.5	4	2664	0.07		
"United States of America"	512915	29531	2	18	39	1	13.4	3	7938	0.08		
"Netherlands"	445741	-138412	1.7	15	6	8	2.8	5	3706	0.07		
"United Kingdom"	421980	107668	1.7	6	27	7	3.2	1	3930	0.06		
"Spain"	415466	-127966	1.6	16	87	15	1.9	3	3890	0.05		
"Sweden"	343131	80176	1.3	18	35	31	0.9	3	2128	0.07		
"Turkey"	342224	-1359570	1.3	4	-5	22	1.2	3	4285	0.05		
"Belgium"	316098	-415608	1.2	12	39	12	2.4	3	2709	0.08		
"Greece"	276634	-198142	1.1	8	35	45	0.3	4	2847	0.05		
"Albania"	224292	152787	0.9	13	32	121	0.03	6	1886	0.13		
"Switzerland"	223696	-191277	0.9	13	22	20	1.5	4	3384	0.07		
"Algeria"	194588	192697	0.8	67	-9	64	0.2	-8	4584	0.07		
"Ukraine"	181397	-87386	0.7	11	45	48	0.3	7	3255	0.06		
"Japan"	117196	-90253	0.5	22	23	4	3.5	1	6256	0.09		
"Korea, Republic of"	113331	-265317	0.4	68	1711	9	2.8	4	5699	0.09		
"Denmark"	90325	-142282	0.4	8	31	35	0.6	5	2182	0.08		
"Finland"	80508	-78743	0.3	30	182	44	0.4	3	2842	0.07		
"Saudi Arabia"	76437	39324	0.3	-20	66	32	0.7	3	5816	0.07		
"United Arab Emirates"	66298	57244	0.3	-11	-30	29	0.9	-2	5715	0.08		
"Lithuania"	62888	29725	0.2	20	24	59	0.2	7	1630	0.07		
"Uganda"	59934	52383	0.2	284	100	132	0.02	11	5788	0.09		
"Israel"	59614	11471	0.2	20	37	42	0.4	4	5483	0.07		
"Georgia"	59164	58771	0.2	48	929	113	0.04	-2	2513	0.09		
"Azerbaijan"	54256	51617	0.2	86	166	98	0.05	5	3712	0.09		
"Mexico"	52949	-10222	0.2	41	50	13	2.3	2	7039	0.24		
"Belarus"	50957	-74661	0.2	4	-5	61	0.2	2	2268	0.23		
"Canada"	43343	2426	0.2	6	27	14	2.2	1	5042	0.26		
"Egypt"	37350	-5042	0.1	3	-2	46	0.3	-1	5219	0.05		
"Portugal"	37056	-39723	0.1	20	43	40	0.4	2	2788	0.14		
"Cyprus"	31529	24044	0.1	30	-49	105	0.05	-1	3118	0.09		
"Norway"	30704	-105763	0.1	5	44	39	0.5	3	3470	0.06		
"Brazil"	28375	-62283	0.1	17	52	26	1	6	10879	0.09		
"Australia"	27338	5592	0.1	24	30	24	1.1	1	10262	0.1		
"India"	26388	-203215	0.1	25	46	10	2.6	2	5793	0.05		
"Moldova, Republic of"	26071	-14344	0.1	20	0	118	0.03	8	2317	0.08		
"Tunisia"	24895	-1315	0.1	-2	42	78	0.10	-1	3411	0.06		
"Libya, State of"	22911	15454	0.1	36	-12	89	0.07	12	3475	0.08		
"Burkina Faso"	16832	16617	0.1	107	174	136	0.02	5	6109	0.05		
"Ireland"	14774	-148530	0.1	22	5	36	0.5	4	3265	0.1		
"Latvia"	14283	5157	0.1	25	49	77	0.1	7	1575	0.08		
"Iraq"	13344	-741656	0.1	-7	14	62	0.2	3	4107	0.18		
"South Africa"	13144	-97689	0.1	34	79	41	0.4	-1	9230	0.07		
"Estonia"	12482	-4686	0	29	33	73	0.1	6	2314	0.06		
"Argentina"	10352	-6403	0	23	48	50	0.3	-5	10631	0.1		
"Kenya"	10340	7794	0	-10	478	80	0.09	2	6680	0.08		
"Myanmar"	9422	-8379	0	-4	46	79	0.10	-1	2536	0.25		
"Lebanon"	9255	8856	0	15	-58	97	0.06	-12	3592	0.06		
"Indonesia"	9143	-74952	0	-2	28	30	0.9	2	5872	0.11		
"Qatar"	8711	4221	0	-5	36	70	0.1	0	5745	0.06		
"Nigeria"	8086	6341	0	0	40	53	0.2	17	7792	0.1		
"Malaysia"	7648	-77479	0	14	102	25	1.1	3	5172	0.09		
"Kazakhstan"	7295	-228531	0	-26	-36	58	0.2	6	3017	0.25		
"Chile"	6258	-442	0	4	-35	43	0.4	6	11582	0.13		
"Turkmenistan"	6194	-2784	0		7055	148	0.02	4	3495	0.15		
