Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Singapore's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Singapore (%)	
"World"	457749966	50837197	100	3	22		100	3				
"China"	67787634	13137956	14.8	5	32	2	11.1	5	6416	0.04		
"Hong Kong, China"	60183665	56932721	13.1	5	30	5	3.3	3	2841	0.22		
"Malaysia"	42155822	-11611923	9.2	-2	27	25	1.1	3	5172	0.09		
"United States of America"	39340475	-1261457	8.6	13	-2	1	13.4	3	7938	0.08		
"Indonesia"	28818441	13594885	6.3	-4	34	30	0.9	2	5872	0.11		
"Taipei, Chinese"	23321801	-27833340	5.1	8	28	17	1.7	8	5007	0.1		
"Korea, Republic of"	19712323	-2498453	4.3	4	18	9	2.8	4	5699	0.09		
"Japan"	18366164	-3453385	4	0	3	4	3.5	1	6256	0.09		
"Viet Nam"	15680256	11293317	3.4	5	26	19	1.5	8	3535	0.19		
"Thailand"	15631617	5819534	3.4	0	11	23	1.2	2	4905	0.09		
"Australia"	13046362	5801201	2.9	1	52	24	1.1	1	10262	0.1		
"India"	12631931	5263852	2.8	0	38	10	2.6	2	5793	0.05		
"Netherlands"	9741434	6620042	2.1	6	-5	8	2.8	5	3706	0.07		
"Philippines"	9172391	1052974	2	4	23	34	0.6	2	4354	0.09		
"Germany"	7110023	-3190136	1.6	1	28	3	6.5	3	3376	0.05		
"Cambodia"	6622594	6389250	1.4	5	340	66	0.1	16	2651	0.18		
"Belgium"	5406448	4039892	1.2	1	12	12	2.4	3	2709	0.08		
"Panama"	4304912	4300958	0.9	-9	19	60	0.2	1	8657	0.12		
"United Arab Emirates"	4020682	-8534972	0.9	0	32	29	0.9	-2	5715	0.08		
"France"	3871978	-7658162	0.8	-1	-8	6	3.2	1	3195	0.06		
"United Kingdom"	3707714	-3159372	0.8	3	-17	7	3.2	1	3930	0.06		
"Bangladesh"	3627318	3452897	0.8	1	53	49	0.3	6	4172	0.15		
"Marshall Islands"	3590166	3581830	0.8	5	20	91	0.06	-1	7455	0.18		
"Switzerland"	3429251	-4828920	0.7	8	35	20	1.5	4	3384	0.07		
"Liberia"	3353659	3352731	0.7	4	19	87	0.07	17	11608	0.19		
"Myanmar"	2618641	2534239	0.6	1	-3	79	0.10	-1	2536	0.25		
"New Zealand"	2232162	1576104	0.5	2	21	56	0.2	3	11141	0.09		
"Mexico"	1627514	-863366	0.4	6	27	13	2.3	2	7039	0.24		
"Brazil"	1613296	-2470260	0.4	7	28	26	1	6	10879	0.09		
"Malta"	1405447	857940	0.3	1	3	120	0.03	1	3249	0.08		
"Pakistan"	1295427	1224265	0.3	4	57	47	0.3	2	4850	0.11		
"Sri Lanka"	1173164	1062959	0.3	-14	21	85	0.08	-3	4351	0.16		
"Israel"	980374	222417	0.2	5	50	42	0.4	4	5483	0.07		
"Saudi Arabia"	951408	-5225841	0.2	9	-26	32	0.7	3	5816	0.07		
"Greece"	932326	636559	0.2	2	9	45	0.3	4	2847	0.05		
"Italy"	882362	-4072287	0.2	3	20	11	2.5	2	2891	0.06		
"Turkey"	855855	-4937	0.2	15	16	22	1.2	3	4285	0.05		
"Bahamas"	822898	666887	0.2	1	24	115	0.03	-8	6248	0.19		
"Qatar"	754691	-4256316	0.2	9	18	70	0.1	0	5745	0.06		
"Canada"	752858	-736951	0.2	2	-32	14	2.2	1	5042	0.26		
"Brunei Darussalam"	746829	-523268	0.2	-1	-5	109	0.04	26	5185	0.11		
"Czech Republic"	580124	-107657	0.1	2	29	28	1	4	2987	0.1		
"Norway"	577735	93218	0.1	9	20	39	0.5	3	3470	0.06		
"Ireland"	566913	-1395160	0.1	26	4	36	0.5	4	3265	0.1		
"Papua New Guinea"	544232	125750	0.1	3	4	143	0.02	-1	4973	0.17		
"Hungary"	521421	156737	0.1	17	44	33	0.6	6	2180	0.09		
"Russian Federation"	488296	-2777417	0.1	-6	-11	21	1.3	5	4187	0.09		
"United States Minor Outlying Islands"	457617	454092	0.1	2	89	177	0	0		0.21		
"Portugal"	452126	180023	0.1	-2	19	40	0.4	2	2788	0.14		
"Cyprus"	444017	426286	0.1	1	14	105	0.05	-1	3118	0.09		
"Poland"	440484	-96560	0.1	10	25	18	1.5	8	3121	0.08		
"Spain"	424134	-899015	0.1	7	8	15	1.9	3	3890	0.05		
"South Africa"	413890	-277460	0.1	-6	25	41	0.4	-1	9230	0.07		
"Nigeria"	408905	-469207	0.1	16	58	53	0.2	17	7792	0.1		
"Denmark"	336093	-418073	0.1	3	133	35	0.6	5	2182	0.08		
"Austria"	298903	-570385	0.1	13	62	27	1	3	1514	0.18		
"Fiji"	276052	274342	0.1	-8	45	157	0.01	-7	7384	0.12		
"Egypt"	251884	-119340	0.1	-12	13	46	0.3	-1	5219	0.05		
"New Caledonia"	251031	246986	0.1	-4	18	155	0.01	-1	11471	0.2		
"Oman"	237016	-283914	0.1	8	24	83	0.08	-6	5977	0.08		
"Macao, China"	220514	207905	0	-11	54	81	0.09	15		0.17		
"Kuwait"	206695	-354302	0	-3	53	76	0.1	-3	5837	0.07		
"Maldives"	195679	194910	0	-8	20	151	0.01	-3	4478	0.08		
"Finland"	191911	-153834	0	-5	182	44	0.4	3	2842	0.07		
"Dominican Republic"	180092	126849	0	86	1509	67	0.1	5	6446	0.22		
"Lithuania"	180050	-11127	0	133	49	59	0.2	7	1630	0.07		
"Morocco"	174582	25210	0	4	57	52	0.3	4	4316	0.07		
"Nepal"	174122	172891	0	13	44	96	0.06	8	1856	0.56		
"Argentina"	163737	100988	0	11	5	50	0.3	-5	10631	0.1		
"Bahrain"	158842	-81151	0	2	82	101	0.05	1	6359	0.08		
"Kenya"	152903	142024	0	32	29	80	0.09	2	6680	0.08		
"Slovakia"	144785	54014	0	43	427	38	0.5	4	2664	0.07		
"Sweden"	139952	-1375243	0	-9	-4	31	0.9	3	2128	0.07		
"Luxembourg"	122572	87658	0	18	-24	71	0.1	3	1488	0.14		
"Mongolia"	119761	115518	0	6	39	125	0.03	8	3267	0.22		
"Costa Rica"	110555	-23456	0	30	34	86	0.08	3	6987	0.22		
"Chile"	104655	7030	0	13	-31	43	0.4	6	11582	0.13		
"Timor-Leste"	104174	516	0	22	58	183	0	12	3988	0.22		
"Mozambique"	102783	56682	0	44	2	108	0.04	8	6196	0.1		
"Cayman Islands"	99008	96139	0	4	-9	123	0.03	5	7522	0.35		
"Ecuador"	96379	14055	0	5	86	69	0.1	3	9174	0.12		
"Colombia"	95549	-52326	0	-9	38	51	0.3	4	8915	0.13		
"Togo"	91547	90926	0	-6	211	153	0.01	10	7318	0.08		
"Iraq"	90485	-1306895	0	11	-4	62	0.2	3	4107	0.18		
"Romania"	83844	-106630	0	9	29	37	0.5	6	1891	0.07		
"Mauritius"	82972	74229	0	5	96	133	0.02	-2	7320	0.08		
"French Polynesia"	79684	75516	0	-6	154	165	0	1	13300	0.24		
"Ghana"	78752	-29326	0	-12	48	82	0.08	8	8888	0.18		
"Tanzania, United Republic of"	77180	62268	0	18	53	102	0.05	7	6633	0.1		
"Peru"	73351	57017	0	-1	12	54	0.2	3	10420	0.13		
"Antigua and Barbuda"	71339	71315	0	-16	-1	174	0	1	6334	0.27		
"Lao People's Democratic Republic"	63208	37909	0	9	137	129	0.02	-1	2572	0.28		
"Jordan"	62969	-7011	0	23	-6	84	0.08	0	5167	0.07		
"Solomon Islands"	61589	61497	0	-2	97	190	0	0	6301	0.17		
"Slovenia"	57733	-5070	0	-7	64	55	0.2	10	2404	0.07		
"Angola"	55306	-698346	0	4	-53	100	0.05	-11	7692	0.06		
"Bermuda"	52771	52767	0	-17	7	169	0	-3	8006	0.28		
"Guatemala"	47920	21755	0	31	159	68	0.1	7	5828	0.15		
"Latvia"	42567	17032	0	24	5	77	0.1	7	1575	0.08		
"Algeria"	41923	-1119649	0	-13	-11	64	0.2	-8	4584	0.07		
"Tuvalu"	41837	41833	0	21	18	204	0	17	6386	0.21		
"Samoa"	40550	40548	0	-11	37	197	0	-1	6816	0.13		
"Senegal"	38484	37188	0	22	99	110	0.04	4	6632	0.05		
"British Indian Ocean Territory"	37895	35106	0	13	55	219	0	-9		0.67		
"Western Sahara"	34926	34915	0			221	0	-16	12469	0.9		
"Bulgaria"	34921	-39352	0	-12	15	57	0.2	6	2237	0.05		
"Vanuatu"	34397	33595	0	-3	70	198	0	-2	6248	0.13		
"Croatia"	32421	-56371	0	0	88	63	0.2	6	1362	0.07		
"Guyana"	30549	29857	0	82	110	144	0.02	13	11175	0.21		
"Tunisia"	28147	-24103	0	-1	87	78	0.10	-1	3411	0.06		
"Djibouti"	28071	27909	0	27	18	130	0.02	5	6387	0.22		
"Ethiopia"	27312	-72863	0	-16	-75	90	0.07	1	6305	0.11		
"Gabon"	26510	-82761	0	18	-50	158	0.01	-2	7114	0.11		
"Azerbaijan"	24901	24613	0	4	-56	98	0.05	5	3712	0.09		
"Ukraine"	22793	-20274	0	10	12	48	0.3	7	3255	0.06		
"El Salvador"	21621	2426	0	34	389	88	0.07	9	4914	0.15		
"Seychelles"	21557	21418	0	-18	3	187	0	-7	6627	0.06		
"Côte d'Ivoire"	20119	-28512	0	-9	51	93	0.06	9	6793	0.08		
"Barbados"	20018	19116	0	24	15	161	0	0	4992	0.21		
"Estonia"	19080	-109243	0	17	24	73	0.1	6	2314	0.06		
"Cameroon"	18004	-20156	0	-1	-36	116	0.03	8	7279	0.14		
"Libya, State of"	16563	-154674	0	3	-23	89	0.07	12	3475	0.08		
"Lebanon"	16277	14867	0	-21	-24	97	0.06	-12	3592	0.06		
"Guinea"	15911	15641	0	15	-48	135	0.02	7	9140	0.19		
"Congo, Democratic Republic of the"	15869	-2782	0	18	5	111	0.04	13	6479	0.14		
"Palau"	15675	15625	0	35	245	209	0	1	6232	0.16		
"Sierra Leone"	15230	13825	0	31	381	170	0	10	8820	0.13		
"Belize"	14419	13941	0	10	52	179	0	1	5006	0.18		
"Kazakhstan"	13522	-437577	0	-8	-11	58	0.2	6	3017	0.25		
"Madagascar"	13217	-23332	0	-17	44	138	0.02	2	7339	0.08		
"Iran, Islamic Republic of"	13209	7285	0	-55	-47	72	0.1	-18	5612	0.13		
"Curaçao"	12429	12418	0	5	-24	163	0	-12		0.24		
"Gibraltar"	12398	11754	0	-28	-11	114	0.03	-5	2572	0.09		
"Jamaica"	12233	11393	0	29	-51	137	0.02	-2	6759	0.22		
"Namibia"	11939	-46597	0	16	6	126	0.03	-1	3757	0.37		
"Yemen"	11412	6719	0	0	2	107	0.04	11	5706	0.11		
"Trinidad and Tobago"	11347	10726	0	1	-58	128	0.03	-1	6663	0.26		
"Congo"	10296	-137365	0	-9	18	154	0.01	-18	6851	0.07		
"Uruguay"	10204	-3458	0	-17	20	95	0.06	0	9836	0.11		
"Saint Vincent and the Grenadines"	9973	9941	0	-28	23	196	0	3	6798	0.14		
"Afghanistan"	9747	7338	0	-14	-51	147	0.02	-8	2990	0.12		
"Bhutan"	9406	8544	0	5	-4	178	0	15	1733	0.63		
"Serbia"	7378	-15265	0	1	74	65	0.2	9	2497	0.06		
"Botswana"	7350	-271930	0	57	-93	124	0.03	2	2968	0.52		
"Uganda"	6320	-636	0	7	36	132	0.02	11	5788	0.09		
"Northern Mariana Islands"	6237	5988	0	-19	-86	216	0	-19	3811	0.2		
"Mali"	6226	5606	0	48	19	141	0.02	9	5008	0.1		
"Sudan"	5972	-21630	0	2	41	122	0.03	-2		0.13		
"Paraguay"	5584	2421	0	13	-9	92	0.06	0	7311	0.15		
"Burkina Faso"	5342	5124	0	58	-24	136	0.02	5	6109	0.05		
"Uzbekistan"	5334	-274218	0	13	-63	74	0.1	16	3412	0.12		
"Benin"	5331	5287	0	-19	0	149	0.01	-2	6481	0.07		
"Zambia"	5245	-88818	0	17	160	119	0.03	-9	5447	0.14		
"Cook Islands"	5213	5164	0	-8	161	206	0	-4	9417	0.22		
"Venezuela, Bolivarian Republic of"	5194	4314	0	-12	308	117	0.03	-11	8121	0.16		
"Bolivia, Plurinational State of"	5122	3787	0	6	63	106	0.04	-3	7978	0.11		
"Micronesia, Federated States of"	5113	4998	0	9	14	208	0	-8	7109	0.19		
"Cuba"	5054	-2903	0	10	571	145	0.02	-13	7148	0.09		
"Moldova, Republic of"	4866	3438	0	26	-45	118	0.03	8	2317	0.08		
"Saint Kitts and Nevis"	4664	3915	0	4	-27	201	0	-12	5440	0.41		
"Nicaragua"	4513	1697	0	9	314	104	0.05	4	5888	0.1		
"Honduras"	4408	501	0	8	-60	99	0.05	4	6104	0.16		
