Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Slovenia's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Slovenia (%)	
"World"	46773357	-2833975	100	8	25		100	3				
"Germany"	8085152	1688138	17.3	4	20	3	6.5	3	3376	0.05		
"Switzerland"	6278391	868809	13.4	89	38	20	1.5	4	3384	0.07		
"Italy"	4995105	-195167	10.7	4	43	11	2.5	2	2891	0.06		
"Croatia"	3697345	1497932	7.9	8	23	63	0.2	6	1362	0.07		
"Austria"	3061411	-329402	6.5	3	28	27	1	3	1514	0.18		
"France"	1992951	624446	4.3	2	3	6	3.2	1	3195	0.06		
"Serbia"	1445495	478279	3.1	7	17	65	0.2	9	2497	0.06		
"Poland"	1372222	56271	2.9	7	21	18	1.5	8	3121	0.08		
"Hungary"	1249091	175347	2.7	7	29	33	0.6	6	2180	0.09		
"Czech Republic"	1017352	14420	2.2	4	32	28	1	4	2987	0.1		
"Russian Federation"	1011428	539971	2.2	2	3	21	1.3	5	4187	0.09		
"Bosnia and Herzegovina"	1008122	172872	2.2	3	25	94	0.06	3	2228	0.07		
"Netherlands"	909052	91601	1.9	9	28	8	2.8	5	3706	0.07		
"United States of America"	878710	157471	1.9	6	39	1	13.4	3	7938	0.08		
"United Kingdom"	766597	121523	1.6	3	28	7	3.2	1	3930	0.06		
"Slovakia"	727635	28672	1.6	5	22	38	0.5	4	2664	0.07		
"Romania"	662067	50438	1.4	5	18	37	0.5	6	1891	0.07		
"Spain"	626334	-109080	1.3	-2	15	15	1.9	3	3890	0.05		
"Sweden"	516603	152051	1.1	6	35	31	0.9	3	2128	0.07		
"Belgium"	506170	-152848	1.1	4	16	12	2.4	3	2709	0.08		
"Denmark"	502047	335410	1.1	9	20	35	0.6	5	2182	0.08		
"China"	400193	-6079721	0.9	1	25	2	11.1	5	6416	0.04		
"Turkey"	393561	-665165	0.8	4	17	22	1.2	3	4285	0.05		
"Bulgaria"	337299	150818	0.7	3	20	57	0.2	6	2237	0.05		
"Ukraine"	288290	186475	0.6	15	18	48	0.3	7	3255	0.06		
"Macedonia, North"	271267	95477	0.6	5	23	103	0.05	8	1348	0.09		
"Greece"	189082	-280328	0.4	15	63	45	0.3	4	2847	0.05		
"Special categories"	157785	-48584	0.3	16	119							
"Canada"	152559	22630	0.3	14	1	14	2.2	1	5042	0.26		
"Portugal"	152461	15540	0.3	4	28	40	0.4	2	2788	0.14		
"Lithuania"	151068	102099	0.3	14	29	59	0.2	7	1630	0.07		
"India"	131002	-261215	0.3	7	-2	10	2.6	2	5793	0.05		
"Finland"	128008	-8093	0.3	7	8	44	0.4	3	2842	0.07		
"Australia"	127926	113724	0.3	2	2	24	1.1	1	10262	0.1		
"Saudi Arabia"	119657	-258104	0.3	14	-18	32	0.7	3	5816	0.07		
"Montenegro"	105825	85268	0.2	-3	15	152	0.01	0	2382	0.08		
"Norway"	104532	28862	0.2	4	21	39	0.5	3	3470	0.06		
"United Arab Emirates"	104067	68100	0.2	3	15	29	0.9	-2	5715	0.08		
"Mexico"	102251	6798	0.2	-3	49	13	2.3	2	7039	0.24		
"Japan"	94781	-273916	0.2	-11	3	4	3.5	1	6256	0.09		
"Israel"	94707	-3901	0.2	13	20	42	0.4	4	5483	0.07		
"Belarus"	92908	66319	0.2	11	25	61	0.2	2	2268	0.23		
"Algeria"	83693	83018	0.2	6	-12	64	0.2	-8	4584	0.07		
"Uzbekistan"	79687	76360	0.2	28	32	74	0.1	16	3412	0.12		
"Hong Kong, China"	79671	54188	0.2	9	58	5	3.3	3	2841	0.22		
"Ireland"	78192	-159295	0.2	12	24	36	0.5	4	3265	0.1		
"Korea, Republic of"	76513	-468542	0.2	-16	12	9	2.8	4	5699	0.09		
"Egypt"	75000	-231584	0.2	10	22	46	0.3	-1	5219	0.05		
"South Africa"	72625	16168	0.2	16	47	41	0.4	-1	9230	0.07		
"Albania"	72087	65714	0.2	7	28	121	0.03	6	1886	0.13		
"Brazil"	71598	-235414	0.2	4	33	26	1	6	10879	0.09		
"Kazakhstan"	60210	41259	0.1	-6	-9	58	0.2	6	3017	0.25		
"Estonia"	57050	37523	0.1	-4	13	73	0.1	6	2314	0.06		
"Latvia"	51468	33757	0.1	2	13	77	0.1	7	1575	0.08		
"Viet Nam"	42405	-268473	0.1	5	-1	19	1.5	8	3535	0.19		
"Iran, Islamic Republic of"	38000	34712	0.1	-17	35	72	0.1	-18	5612	0.13		
"Taipei, Chinese"	36133	-144837	0.1	8	25	17	1.7	8	5007	0.1		
"Thailand"	36092	-95140	0.1	0	13	23	1.2	2	4905	0.09		
"Qatar"	35715	33691	0.1	14	144	70	0.1	0	5745	0.06		
"Morocco"	35323	-57721	0.1	8	88	52	0.3	4	4316	0.07		
"Moldova, Republic of"	32249	29723	0.1	10	22	118	0.03	8	2317	0.08		
"Tunisia"	31590	-1197	0.1	2	64	78	0.10	-1	3411	0.06		
"Singapore"	29092	-438502	0.1	-2	1	16	1.9	3	5773	0.07		
"Lebanon"	28583	27079	0.1	10	9	97	0.06	-12	3592	0.06		
"Malaysia"	28464	-74937	0.1	8	-6	25	1.1	3	5172	0.09		
"Cyprus"	27801	17703	0.1	-5	10	105	0.05	-1	3118	0.09		
"Kuwait"	26801	22412	0.1	5	46	76	0.1	-3	5837	0.07		
"Libya, State of"	25124	25124	0.1	40	149	89	0.07	12	3475	0.08		
"Georgia"	23796	23033	0.1	-2	7	113	0.04	-2	2513	0.09		
"Jordan"	21375	19794	0	16	30	84	0.08	0	5167	0.07		
"Mongolia"	20948	20817	0	7	33	125	0.03	8	3267	0.22		
"Luxembourg"	20209	-32431	0	-4	10	71	0.1	3	1488	0.14		
"Azerbaijan"	19523	19158	0	1	1	98	0.05	5	3712	0.09		
"Ghana"	18831	15661	0	16	29	82	0.08	8	8888	0.18		
"Chile"	18796	-1407	0	-12	28	43	0.4	6	11582	0.13		
"Philippines"	17844	-2949	0	-1	54	34	0.6	2	4354	0.09		
"Colombia"	17277	-12323	0	-4	59	51	0.3	4	8915	0.13		
"New Zealand"	15747	11080	0	5	24	56	0.2	3	11141	0.09		
"Malta"	14911	-6892	0	-8	-17	120	0.03	1	3249	0.08		
"Kyrgyzstan"	14522	14141	0	6	36	127	0.03	1	2892	0.2		
"Oman"	14121	114	0	22	55	83	0.08	-6	5977	0.08		
"Nigeria"	13769	8115	0	16	11	53	0.2	17	7792	0.1		
"Indonesia"	12909	-100285	0	5	-36	30	0.9	2	5872	0.11		
"Bahrain"	12520	7781	0	-5	106	101	0.05	1	6359	0.08		
"Argentina"	12318	-14138	0	-24	21	50	0.3	-5	10631	0.1		
"Iraq"	11320	11320	0	10	13	62	0.2	3	4107	0.18		
"Pakistan"	11055	-22727	0	5	203	47	0.3	2	4850	0.11		
"Somalia"	10813	10638	0	100	112	150	0.01	9	5305	0.16		
"Armenia"	10563	12	0	-3	10	131	0.02	6	3323	0.15		
"Panama"	9068	8399	0	-9	-7	60	0.2	1	8657	0.12		
"Tajikistan"	5914	5821	0	6	-4	142	0.02	9	2803	0.17		
