Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in South Africa's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by South Africa (%)	
"World"	123734050	30119797	100	6	44		100	3				
"China"	13839764	-5420274	11.2	11	42	2	11.1	5	6416	0.04		
"United States of America"	13105430	6507920	10.6	16	84	1	13.4	3	7938	0.08		
"Germany"	10506115	2863272	8.5	10	51	3	6.5	3	3376	0.05		
"Japan"	8236937	5632071	6.7	13	118	4	3.5	1	6256	0.09		
"United Kingdom"	8182961	6307717	6.6	17	93	7	3.2	1	3930	0.06		
"Area Nes"	7887907	7091527	6.4	7	9							
"Botswana"	4390756	3819755	3.5	0	34	124	0.03	2	2968	0.52		
"Mozambique"	4343628	3558009	3.5	7	41	108	0.04	8	6196	0.1		
"India"	4283576	-1067040	3.5	-3	33	10	2.6	2	5793	0.05		
"Netherlands"	4171141	2568409	3.4	8	26	8	2.8	5	3706	0.07		
"Belgium"	3551777	2181551	2.9	7	48	12	2.4	3	2709	0.08		
"Namibia"	3440142	2444006	2.8	-4	29	126	0.03	-1	3757	0.37		
"Zimbabwe"	2927887	2741205	2.4	6	32	134	0.02	7	3754	0.39		
"Hong Kong, China"	2466404	2324567	2	9	62	5	3.3	3	2841	0.22		
"Zambia"	2337228	2093968	1.9	-3	37	119	0.03	-9	5447	0.14		
"United Arab Emirates"	2310270	414539	1.9	3	51	29	0.9	-2	5715	0.08		
"Korea, Republic of"	2140054	1036756	1.7	-1	54	9	2.8	4	5699	0.09		
"Eswatini"	1517354	133106	1.2	2	30	160	0	1	1597	0.74		
"Lesotho"	1415916	1092328	1.1	-2	36	164	0	-2	1590	0.78		
"Spain"	1365551	-211115	1.1	-3	49	15	1.9	3	3890	0.05		
"Italy"	1187896	-1387360	1	-1	79	11	2.5	2	2891	0.06		
"Pakistan"	1178452	985419	1	5	64	47	0.3	2	4850	0.11		
"Congo, Democratic Republic of the"	1079616	1002225	0.9	-1	39	111	0.04	13	6479	0.14		
"Australia"	839708	-265654	0.7	-3	11	24	1.1	1	10262	0.1		
"Switzerland"	830380	-263367	0.7	-2	-2	20	1.5	4	3384	0.07		
"France"	822490	-1143909	0.7	-4	46	6	3.2	1	3195	0.06		
"Taipei, Chinese"	784428	56646	0.6	-9	97	17	1.7	8	5007	0.1		
"Indonesia"	739159	-270835	0.6	7	48	30	0.9	2	5872	0.11		
"Czech Republic"	601454	-84177	0.5	34	25	28	1	4	2987	0.1		
"Kenya"	571799	535520	0.5	-9	26	80	0.09	2	6680	0.08		
"Singapore"	550567	202227	0.4	2	10	16	1.9	3	5773	0.07		
"Nigeria"	522607	-1720413	0.4	3	29	53	0.2	17	7792	0.1		
"Thailand"	498529	-2477364	0.4	-8	36	23	1.2	2	4905	0.09		
"Malawi"	470866	414562	0.4	1	19	168	0	0	5169	0.15		
"Turkey"	468485	-467870	0.4	-1	10	22	1.2	3	4285	0.05		
"Tanzania, United Republic of"	459900	429428	0.4	-2	37	102	0.05	7	6633	0.1		
"Brazil"	459703	-842513	0.4	-2	58	26	1	6	10879	0.09		
"Ghana"	415185	-131335	0.3	3	19	82	0.08	8	8888	0.18		
"Viet Nam"	413439	-651584	0.3	18	-31	19	1.5	8	3535	0.19		
"Malaysia"	412669	-598436	0.3	-15	18	25	1.1	3	5172	0.09		
"Russian Federation"	411914	-211645	0.3	2	8	21	1.3	5	4187	0.09		
"Ship stores and bunkers"	382385	382385	0.3	-3	-45	75	0.1	-11		0.16		
"Canada"	379559	-43456	0.3	1	23	14	2.2	1	5042	0.26		
"Saudi Arabia"	377510	-3731230	0.3	1	9	32	0.7	3	5816	0.07		
"Mauritius"	352368	126131	0.3	-8	25	133	0.02	-2	7320	0.08		
"Angola"	328603	-33817	0.3	-14	-6	100	0.05	-11	7692	0.06		
"Israel"	250630	42637	0.2	-12	33	42	0.4	4	5483	0.07		
"Slovenia"	245814	166422	0.2	26	84	55	0.2	10	2404	0.07		
"Poland"	242147	-698666	0.2	7	25	18	1.5	8	3121	0.08		
"Bangladesh"	237396	116539	0.2	7	12	49	0.3	6	4172	0.15		
"Mexico"	228444	-301696	0.2	11	5	13	2.3	2	7039	0.24		
"Sri Lanka"	218961	184602	0.2	-1	27	85	0.08	-3	4351	0.16		
"Argentina"	195477	-287055	0.2	-2	50	50	0.3	-5	10631	0.1		
"Portugal"	193895	-121790	0.2	0	11	40	0.4	2	2788	0.14		
"Ireland"	181839	-261526	0.1	8	64	36	0.5	4	3265	0.1		
"Madagascar"	177184	48619	0.1	-8	60	138	0.02	2	7339	0.08		
"Sweden"	158265	-766740	0.1	-5	10	31	0.9	3	2128	0.07		
"Senegal"	130155	127032	0.1	-2	37	110	0.04	4	6632	0.05		
"Norway"	128590	41187	0.1	-5	-31	39	0.5	3	3470	0.06		
"Uganda"	122372	104164	0.1	-8	22	132	0.02	11	5788	0.09		
"Romania"	121817	-220999	0.1	35	39	37	0.5	6	1891	0.07		
"Cabo Verde"	118175	118151	0.1	93	97	181	0	4	5196	0.21		
"Hungary"	112684	-235947	0.1	1	27	33	0.6	6	2180	0.09		
"Côte d'Ivoire"	111560	80418	0.1	-1	2	93	0.06	9	6793	0.08		
"Greece"	107048	23976	0.1	13	59	45	0.3	4	2847	0.05		
"Morocco"	103953	37567	0.1	-8	291	52	0.3	4	4316	0.07		
"Austria"	99855	-446043	0.1	11	106	27	1	3	1514	0.18		
"Egypt"	98376	-23704	0.1	-21	36	46	0.3	-1	5219	0.05		
"Kuwait"	95902	9488	0.1	0	15	76	0.1	-3	5837	0.07		
"Denmark"	91040	-216586	0.1	-7	32	35	0.6	5	2182	0.08		
"Mali"	90704	87299	0.1	3	18	141	0.02	9	5008	0.1		
"New Zealand"	86304	-61406	0.1	-6	26	56	0.2	3	11141	0.09		
"Congo"	84373	83182	0.1	8	63	154	0.01	-18	6851	0.07		
"Finland"	82681	-343393	0.1	17	41	44	0.4	3	2842	0.07		
"Qatar"	76090	-192231	0.1	-13	4	70	0.1	0	5745	0.06		
"Djibouti"	74820	73831	0.1	-13	76	130	0.02	5	6387	0.22		
"Latvia"	70217	-32677	0.1	11	36	77	0.1	7	1575	0.08		
"Bahamas"	66067	65502	0.1	33	790	115	0.03	-8	6248	0.19		
"Chile"	64693	-131155	0.1	4	14	43	0.4	6	11582	0.13		
"Seychelles"	59225	56555	0	-5	27	187	0	-7	6627	0.06		
"Iraq"	57841	57133	0	69	3	62	0.2	3	4107	0.18		
"Oman"	54616	-1821091	0	-5	28	83	0.08	-6	5977	0.08		
"Philippines"	53893	-122300	0	-7	10	34	0.6	2	4354	0.09		
"Cameroon"	49232	44292	0	4	5	116	0.03	8	7279	0.14		
"Ethiopia"	47580	40221	0	-15	0	90	0.07	1	6305	0.11		
"Guinea"	45970	44684	0	-5	-37	135	0.02	7	9140	0.19		
"Jordan"	43072	15497	0	0	10	84	0.08	0	5167	0.07		
"Yemen"	36104	36087	0	-16	13	107	0.04	11	5706	0.11		
"Lithuania"	35953	-144437	0	-5	-7	59	0.2	7	1630	0.07		
"Bulgaria"	35179	-85762	0	-4	23	57	0.2	6	2237	0.05		
"Sierra Leone"	32738	31534	0	-15	65	170	0	10	8820	0.13		
"Colombia"	32493	-14352	0	-5	71	51	0.3	4	8915	0.13		
"Peru"	32479	-1479	0	-4	32	54	0.2	3	10420	0.13		
"Dominican Republic"	32377	25029	0	24	384	67	0.1	5	6446	0.22		
"Gabon"	31399	26811	0	0	-6	158	0.01	-2	7114	0.11		
"Burkina Faso"	31344	30233	0	-14	-3	136	0.02	5	6109	0.05		
"Ukraine"	29625	-19801	0	-33	62	48	0.3	7	3255	0.06		
"Uruguay"	26734	-9591	0	-8	135	95	0.06	0	9836	0.11		
"Estonia"	26225	8425	0	8	75	73	0.1	6	2314	0.06		
"British Virgin Islands"	25762	24819	0	-8	-42	156	0.01	8	7242	0.27		
"Mauritania"	25625	24190	0	-5	29	146	0.02	1	5817	0.07		
"Togo"	24829	-17740	0	-27	-20	153	0.01	10	7318	0.08		
"Rwanda"	22891	21465	0	0	-72	159	0.01	17	5437	0.08		
"Gibraltar"	22435	22431	0	3	9	114	0.03	-5	2572	0.09		
"Panama"	21328	20040	0	-37	24	60	0.2	1	8657	0.12		
"Bahrain"	17077	-272276	0	-5	-2	101	0.05	1	6359	0.08		
"Benin"	16897	14021	0	-9	75	149	0.01	-2	6481	0.07		
"Sudan"	16060	15940	0	-24	-7	122	0.03	-2		0.13		
"Kazakhstan"	15167	-3583	0	3	7	58	0.2	6	3017	0.25		
"Guyana"	13680	13679	0	66	23	144	0.02	13	11175	0.21		
"Papua New Guinea"	13513	13466	0	-14	79	143	0.02	-1	4973	0.17		
"Liberia"	13174	12229	0	-38	34	87	0.07	17	11608	0.19		
"Eritrea"	12584	12412	0	-4	25	203	0	-8	6303	0.14		
"Algeria"	12087	5393	0	-26	-53	64	0.2	-8	4584	0.07		
"Croatia"	11624	-9907	0	-6	78	63	0.2	6	1362	0.07		
"Cambodia"	10484	-17381	0	31	-9	66	0.1	16	2651	0.18		
"Maldives"	10034	10030	0	7	39	151	0.01	-3	4478	0.08		
"Somalia"	9846	9666	0	-6	-16	150	0.01	9	5305	0.16		
"Guatemala"	9660	3820	0	11	84	68	0.1	7	5828	0.15		
"Cyprus"	9549	4493	0	-1	24	105	0.05	-1	3118	0.09		
"Ecuador"	8862	-3988	0	-8	101	69	0.1	3	9174	0.12		
"Saint Helena"	8700	8652	0	-18	25	217	0	6	7699	0.31		
"Lebanon"	7736	5769	0	-12	18	97	0.06	-12	3592	0.06		
