Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Spain's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Spain (%)	
"World"	391558519	-34501298	100	4	25		100	3				
"France"	59692970	19301745	15.2	4	24	6	3.2	1	3195	0.06		
"Germany"	38320461	-6947311	9.8	1	13	3	6.5	3	3376	0.05		
"Italy"	31450763	4687142	8	3	34	11	2.5	2	2891	0.06		
"Portugal"	29415993	13331348	7.5	4	30	40	0.4	2	2788	0.14		
"United Kingdom"	21704474	11496691	5.5	-1	16	7	3.2	1	3930	0.06		
"Europe Othr. Nes"	17695563	-7485192	4.5	175	24							
"United States of America"	17468710	-2744279	4.5	4	25	1	13.4	3	7938	0.08		
"Belgium"	17037978	6041812	4.4	11	105	12	2.4	3	2709	0.08		
"Netherlands"	13530263	-6227133	3.5	3	30	8	2.8	5	3706	0.07		
"Morocco"	11235684	2600632	2.9	3	33	52	0.3	4	4316	0.07		
"China"	10243474	-30956874	2.6	11	10	2	11.1	5	6416	0.04		
"Poland"	8965692	1361874	2.3	8	31	18	1.5	8	3121	0.08		
"Switzerland"	6794129	-3345643	1.7	10	16	20	1.5	4	3384	0.07		
"Turkey"	6493877	-3353332	1.7	-1	33	22	1.2	3	4285	0.05		
"Ship stores and bunkers"	6082268	6082178	1.6	-7	39	75	0.1	-11		0.16		
"Mexico"	4871067	-644261	1.2	-5	32	13	2.3	2	7039	0.24		
"Czech Republic"	3486226	-1463645	0.9	5	26	28	1	4	2987	0.1		
"Japan"	3473096	-38344	0.9	4	21	4	3.5	1	6256	0.09		
"Sweden"	3466721	-293281	0.9	7	23	31	0.9	3	2128	0.07		
"Greece"	3115420	2115610	0.8	2	44	45	0.3	4	2847	0.05		
"Brazil"	3066909	-2410796	0.8	1	19	26	1	6	10879	0.09		
"Austria"	2879750	140987	0.7	1	14	27	1	3	1514	0.18		
"Russian Federation"	2617715	-4518506	0.7	3	22	21	1.3	5	4187	0.09		
"Denmark"	2541522	40105	0.6	8	13	35	0.6	5	2182	0.08		
"Romania"	2452262	-95176	0.6	-3	18	37	0.5	6	1891	0.07		
"Ireland"	2411413	-956903	0.6	7	22	36	0.5	4	3265	0.1		
"Canada"	2398455	29960	0.6	5	11	14	2.2	1	5042	0.26		
"Korea, Republic of"	2289511	-960774	0.6	0	31	9	2.8	4	5699	0.09		
"Saudi Arabia"	2255683	-1261658	0.6	-6	14	32	0.7	3	5816	0.07		
"Algeria"	2232962	-3406474	0.6	-11	2	64	0.2	-8	4584	0.07		
"Israel"	2135900	1167868	0.5	4	26	42	0.4	4	5483	0.07		
"Chile"	2071450	534724	0.5	4	40	43	0.4	6	11582	0.13		
"Hungary"	2059376	-1074214	0.5	1	9	33	0.6	6	2180	0.09		
"United Arab Emirates"	2024169	1062986	0.5	0	17	29	0.9	-2	5715	0.08		
"Australia"	1914396	1185945	0.5	-1	14	24	1.1	1	10262	0.1		
"Egypt"	1884078	475336	0.5	5	14	46	0.3	-1	5219	0.05		
"India"	1770002	-3197630	0.5	2	42	10	2.6	2	5793	0.05		
