Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Sweden's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Sweden (%)	
"World"	189816220	2748386	100	4	23		100	3				
"Norway"	20248082	1219624	10.7	5	24	39	0.5	3	3470	0.06		
"Germany"	19455965	-12364154	10.2	3	21	3	6.5	3	3376	0.05		
"United States of America"	15307149	10121380	8.1	11	21	1	13.4	3	7938	0.08		
"Denmark"	14695348	1721475	7.7	7	26	35	0.6	5	2182	0.08		
"Finland"	13451876	5076296	7.1	4	24	44	0.4	3	2842	0.07		
"United Kingdom"	10445351	4774969	5.5	1	33	7	3.2	1	3930	0.06		
"Netherlands"	9534867	-9253772	5	1	20	8	2.8	5	3706	0.07		
"China"	7830869	-5019322	4.1	4	-7	2	11.1	5	6416	0.04		
"France"	7628854	522619	4	3	23	6	3.2	1	3195	0.06		
"Poland"	7232443	-1600240	3.8	9	41	18	1.5	8	3121	0.08		
"Belgium"	6858907	-1404891	3.6	-1	28	12	2.4	3	2709	0.08		
"Italy"	5459433	-1148019	2.9	5	33	11	2.5	2	2891	0.06		
"Area Nes"	4241185	3655163	2.2	1	38							
"Spain"	3668351	545069	1.9	3	31	15	1.9	3	3890	0.05		
"Japan"	2770310	1428325	1.5	4	13	4	3.5	1	6256	0.09		
"Russian Federation"	2492885	40040	1.3	2	29	21	1.3	5	4187	0.09		
"Turkey"	1722283	167634	0.9	2	9	22	1.2	3	4285	0.05		
"Switzerland"	1709273	285468	0.9	0	13	20	1.5	4	3384	0.07		
"Korea, Republic of"	1687728	170809	0.9	3	10	9	2.8	4	5699	0.09		
"Czech Republic"	1682429	-1272142	0.9	4	39	28	1	4	2987	0.1		
"Austria"	1681036	-488491	0.9	3	21	27	1	3	1514	0.18		
