Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Switzerland's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Switzerland (%)	
"World"	380243724	57180618	100	5	19		100	3				
"United States of America"	63095635	38880625	16.6	18	-14	1	13.4	3	7938	0.08		
"Germany"	55240524	-7138768	14.5	4	12	3	6.5	3	3376	0.05		
"China"	33050049	13261575	8.7	1	90	2	11.1	5	6416	0.04		
"India"	31415421	29084191	8.3	5	172	10	2.6	2	5793	0.05		
"Italy"	20310008	-3590566	5.3	4	31	11	2.5	2	2891	0.06		
"France"	19119201	-255305	5	0	16	6	3.2	1	3195	0.06		
"United Kingdom"	14046184	-22285431	3.7	1	-16	7	3.2	1	3930	0.06		
"Spain"	13820372	4751487	3.6	20	72	15	1.9	3	3890	0.05		
"Austria"	10244613	267186	2.7	5	25	27	1	3	1514	0.18		
"Hong Kong, China"	10199085	5565416	2.7	-17	61	5	3.3	3	2841	0.22		
"Slovenia"	8747939	6450766	2.3	107	70	55	0.2	10	2404	0.07		
"Japan"	8496656	3190241	2.2	2	13	4	3.5	1	6256	0.09		
"Singapore"	8103123	3046955	2.1	2	20	16	1.9	3	5773	0.07		
"Netherlands"	7359021	1487687	1.9	4	11	8	2.8	5	3706	0.07		
"Belgium"	5061346	684935	1.3	3	12	12	2.4	3	2709	0.08		
"United Arab Emirates"	4620701	-4132158	1.2	-3	56	29	0.9	-2	5715	0.08		
"Thailand"	4289772	2372959	1.1	-3	104	23	1.2	2	4905	0.09		
"Canada"	4169477	704084	1.1	3	1	14	2.2	1	5042	0.26		
"Russian Federation"	3689396	2190543	1	12	23	21	1.3	5	4187	0.09		
"Korea, Republic of"	3644276	1391878	1	1	16	9	2.8	4	5699	0.09		
"Poland"	3270755	206959	0.9	8	16	18	1.5	8	3121	0.08		
"Turkey"	2815217	647696	0.7	-7	-55	22	1.2	3	4285	0.05		
"Taipei, Chinese"	2673189	927635	0.7	9	6	17	1.7	8	5007	0.1		
"Saudi Arabia"	2500463	1571678	0.7	5	45	32	0.7	3	5816	0.07		
"Australia"	2426945	822275	0.6	-2	5	24	1.1	1	10262	0.1		
"Brazil"	2370090	648280	0.6	-1	5	26	1	6	10879	0.09		
"Czech Republic"	2262482	-694317	0.6	6	26	28	1	4	2987	0.1		
"Sweden"	2035877	420273	0.5	7	17	31	0.9	3	2128	0.07		
"Romania"	1736338	767262	0.5	24	19	37	0.5	6	1891	0.07		
"Mexico"	1532947	-90224	0.4	1	13	13	2.3	2	7039	0.24		
"Malaysia"	1475999	580685	0.4	-16	18	25	1.1	3	5172	0.09		
"Egypt"	1337805	1253238	0.4	10	7	46	0.3	-1	5219	0.05		
"Ireland"	1304265	-2916644	0.3	5	-4	36	0.5	4	3265	0.1		
"Hungary"	1277440	-378252	0.3	5	16	33	0.6	6	2180	0.09		
"Portugal"	1273973	62743	0.3	6	20	40	0.4	2	2788	0.14		
"Denmark"	1231305	190805	0.3	6	2	35	0.6	5	2182	0.08		
"Israel"	1194362	643467	0.3	0	5	42	0.4	4	5483	0.07		
"Greece"	792250	536631	0.2	-2	4	45	0.3	4	2847	0.05		
"Slovakia"	748775	-445098	0.2	5	20	38	0.5	4	2664	0.07		
"Jordan"	745204	723772	0.2	5	165	84	0.08	0	5167	0.07		
"Norway"	734330	224443	0.2	0	12	39	0.5	3	3470	0.06		
"Qatar"	733618	692982	0.2	1	-34	70	0.1	0	5745	0.06		
"Ukraine"	701046	492582	0.2	20	20	48	0.3	7	3255	0.06		
"Argentina"	685114	-309032	0.2	-7	16	50	0.3	-5	10631	0.1		
"Finland"	682706	-867243	0.2	-2	9	44	0.4	3	2842	0.07		
"South Africa"	636490	-3586591	0.2	-6	16	41	0.4	-1	9230	0.07		
"Colombia"	613091	148768	0.2	4	11	51	0.3	4	8915	0.13		
"Viet Nam"	529434	-1348072	0.1	-5	-7	19	1.5	8	3535	0.19		
"Kuwait"	524179	509488	0.1	1	22	76	0.1	-3	5837	0.07		
"Bulgaria"	497206	54583	0.1	5	15	57	0.2	6	2237	0.05		
"Serbia"	485452	152449	0.1	14	25	65	0.2	9	2497	0.06		
"Luxembourg"	419534	122913	0.1	-10	32	71	0.1	3	1488	0.14		
"Pakistan"	398330	130165	0.1	1	2	47	0.3	2	4850	0.11		
"Croatia"	392031	57601	0.1	13	12	63	0.2	6	1362	0.07		
"Morocco"	380060	46625	0.1	2	17	52	0.3	4	4316	0.07		
"Lebanon"	379894	-79869	0.1	-11	-8	97	0.06	-12	3592	0.06		
"Indonesia"	360551	-1340914	0.1	-4	-32	30	0.9	2	5872	0.11		
"Chile"	354102	-580807	0.1	3	3	43	0.4	6	11582	0.13		
"Philippines"	337559	-372764	0.1	0	7	34	0.6	2	4354	0.09		
"Estonia"	323812	221801	0.1	19	32	73	0.1	6	2314	0.06		
"New Zealand"	288189	182191	0.1	5	42	56	0.2	3	11141	0.09		
"Kazakhstan"	279936	206391	0.1	11	7	58	0.2	6	3017	0.25		
"Oman"	277826	261548	0.1	-2	-12	83	0.08	-6	5977	0.08		
"Bahrain"	272321	215634	0.1	-2	11	101	0.05	1	6359	0.08		
"Libya, State of"	216675	-85393	0.1	10	70	89	0.07	12	3475	0.08		
"Algeria"	215675	183139	0.1	-13	-26	64	0.2	-8	4584	0.07		
"Iraq"	214452	213906	0.1	-9	-21	62	0.2	3	4107	0.18		
"Costa Rica"	212088	78937	0.1	4	-1	86	0.08	3	6987	0.22		
"Tunisia"	207480	-37591	0.1	-3	-4	78	0.10	-1	3411	0.06		
"Lithuania"	172913	-113768	0	5	24	59	0.2	7	1630	0.07		
"Iran, Islamic Republic of"	170030	153336	0	-30	19	72	0.1	-18	5612	0.13		
"Panama"	167200	123246	0	-7	-19	60	0.2	1	8657	0.12		
"Latvia"	161286	83613	0	0	17	77	0.1	7	1575	0.08		
"Nigeria"	160251	-320670	0	-7	8	53	0.2	17	7792	0.1		
"Malta"	158093	121705	0	-3	27	120	0.03	1	3249	0.08		
"Uruguay"	148596	109478	0	-5	3	95	0.06	0	9836	0.11		
"Bangladesh"	138055	-878918	0	-5	-2	49	0.3	6	4172	0.15		
"Peru"	137854	-2138465	0	-5	5	54	0.2	3	10420	0.13		
"Bosnia and Herzegovina"	134746	-27659	0	14	19	94	0.06	3	2228	0.07		
"Cambodia"	124219	-170604	0	85	-73	66	0.1	16	2651	0.18		
"Cyprus"	123034	115003	0	2	15	105	0.05	-1	3118	0.09		
"Belarus"	118538	67089	0	10	-14	61	0.2	2	2268	0.23		
"Kenya"	108123	4544	0	3	18	80	0.09	2	6680	0.08		
"Ecuador"	107459	-260159	0	-4	3	69	0.1	3	9174	0.12		
