Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Tajikistan's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Tajikistan (%)	
"World"	1786685	-2430807	100	15	36		100	3				
"Switzerland"	534977	515314	29.9	485	-10	20	1.5	4	3384	0.07		
"Kazakhstan"	360081	-458464	20.2	-5	137	58	0.2	6	3017	0.25		
"Turkey"	232168	73882	13	-3	14	22	1.2	3	4285	0.05		
"China"	159619	-520101	8.9	28	364	2	11.1	5	6416	0.04		
"Uzbekistan"	126670	-199403	7.1	10	54	74	0.1	16	3412	0.12		
"Belgium"	88773	76573	5	416	176	12	2.4	3	2709	0.08		
"Afghanistan"	82584	79651	4.6	-4	19	147	0.02	-8	2990	0.12		
"Russian Federation"	72467	-1208037	4.1	14	77	21	1.3	5	4187	0.09		
"Iran, Islamic Republic of"	38929	-43121	2.2	-8	316	72	0.1	-18	5612	0.13		
"Pakistan"	15201	-1887	0.9	2	7	47	0.3	2	4850	0.11		
"British Virgin Islands"	12969	12969	0.7	33	93	156	0.01	8	7242	0.27		
"United Arab Emirates"	10629	-9071	0.6	-7	208	29	0.9	-2	5715	0.08		
"Italy"	10554	-11832	0.6	-10	-32	11	2.5	2	2891	0.06		
"Georgia"	6606	3736	0.4	194	-50	113	0.04	-2	2513	0.09		
"Kyrgyzstan"	5555	-15068	0.3	-15	-43	127	0.03	1	2892	0.2		
"Croatia"	5353	5185	0.3		22	63	0.2	6	1362	0.07		
"Latvia"	5010	4232	0.3	17	-50	77	0.1	7	1575	0.08		
"Netherlands"	4379	-10158	0.2	-48	237	8	2.8	5	3706	0.07		
"Belarus"	3483	-34477	0.2	2	69	61	0.2	2	2268	0.23		
"Moldova, Republic of"	2388	1955	0.1	-45		118	0.03	8	2317	0.08		
"Japan"	2035	-84722	0.1	22	36	4	3.5	1	6256	0.09		
"Poland"	1443	-8443	0.1	78	72	18	1.5	8	3121	0.08		
"United Kingdom"	1055	-2699	0.1	-1	-23	7	3.2	1	3930	0.06		
"Tajikistan"	714	-13602	0	34	27	142	0.02	9	2803	0.17		
"Ukraine"	507	-25818	0	5	35	48	0.3	7	3255	0.06		
"Lithuania"	431	-9428	0	-13	2121	59	0.2	7	1630	0.07		
"Iraq"	383	-91	0	-38	-48	62	0.2	3	4107	0.18		
"Germany"	336	-106693	0	3	2	3	6.5	3	3376	0.05		
"Czech Republic"	329	-4273	0	302	9	28	1	4	2987	0.1		
"Bangladesh"	312	-1821	0		-92	49	0.3	6	4172	0.15		
"India"	193	-122221	0	-8	2632	10	2.6	2	5793	0.05		
"Austria"	90	-18575	0	-12		27	1	3	1514	0.18		
"Azerbaijan"	80	-5983	0	5	58	98	0.05	5	3712	0.09		
"United States of America"	72	-44772	0	-72	-30	1	13.4	3	7938	0.08		
"France"	62	-18910	0	-20	91	6	3.2	1	3195	0.06		
"Armenia"	57	-287	0	50	-35	131	0.02	6	3323	0.15		
"Thailand"	54	-4290	0			23	1.2	2	4905	0.09		
"Viet Nam"	52	-4128	0	11	-96	19	1.5	8	3535	0.19		
"Hong Kong, China"	35	-152	0	-16	540	5	3.3	3	2841	0.22		
"Egypt"	18	-737	0	53	-57	46	0.3	-1	5219	0.05		
