Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Thailand's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Thailand (%)	
"World"	267492416	-1609614	100	2	17		100	3				
"United States of America"	41351369	26727764	15.5	12	21	1	13.4	3	7938	0.08		
"China"	36689362	-29956746	13.7	5	24	2	11.1	5	6416	0.04		
"Japan"	24633451	-11056489	9.2	1	9	4	3.5	1	6256	0.09		
"Viet Nam"	12314030	5343578	4.6	0	11	19	1.5	8	3535	0.19		
"Malaysia"	11911898	-178717	4.5	0	38	25	1.1	3	5172	0.09		
"Hong Kong, China"	11447234	8601725	4.3	-2	2	5	3.3	3	2841	0.22		
"Australia"	10729150	4287192	4	0	10	24	1.1	1	10262	0.1		
"Singapore"	8890999	1524292	3.3	2	-6	16	1.9	3	5773	0.07		
"Indonesia"	8801592	554886	3.3	-3	16	30	0.9	2	5872	0.11		
"India"	8446611	2013190	3.2	2	57	10	2.6	2	5793	0.05		
"Philippines"	6985596	3140054	2.6	-4	39	34	0.6	2	4354	0.09		
"Cambodia"	6982532	6099923	2.6	3	16	66	0.1	16	2651	0.18		
"Korea, Republic of"	5817702	-4110427	2.2	3	38	9	2.8	4	5699	0.09		
"Netherlands"	5228528	4206872	2	0	22	8	2.8	5	3706	0.07		
"Germany"	4862019	-1357431	1.8	-3	21	3	6.5	3	3376	0.05		
"Taipei, Chinese"	4588022	-5933005	1.7	3	22	17	1.7	8	5007	0.1		
"Myanmar"	4261143	1446087	1.6	-2	14	79	0.10	-1	2536	0.25		
"Lao People's Democratic Republic"	3931435	675418	1.5	-2	18	129	0.02	-1	2572	0.28		
"United Kingdom"	3429315	1375832	1.3	-6	13	7	3.2	1	3930	0.06		
"South Africa"	2961029	2177657	1.1	1	41	41	0.4	-1	9230	0.07		
"Mexico"	2814675	2011369	1.1	-3	22	13	2.3	2	7039	0.24		
"United Arab Emirates"	2749129	-7133476	1	-3	30	29	0.9	-2	5715	0.08		
"Belgium"	1946086	874921	0.7	7	36	12	2.4	3	2709	0.08		
"Brazil"	1889813	-1516293	0.7	6	45	26	1	6	10879	0.09		
"France"	1873749	-603440	0.7	-2	18	6	3.2	1	3195	0.06		
"New Zealand"	1860334	1031509	0.7	0	52	56	0.2	3	11141	0.09		
"Canada"	1824999	949943	0.7	5	19	14	2.2	1	5042	0.26		
"Italy"	1817102	-660382	0.7	0	30	11	2.5	2	2891	0.06		
"Saudi Arabia"	1612722	-4226409	0.6	-1	-3	32	0.7	3	5816	0.07		
"Pakistan"	1591690	1387751	0.6	-2	65	47	0.3	2	4850	0.11		
"Switzerland"	1467437	-3621286	0.5	-10	-81	20	1.5	4	3384	0.07		
"Argentina"	1363943	925950	0.5	1	57	50	0.3	-5	10631	0.1		
"Turkey"	1313139	1020330	0.5	-1	39	22	1.2	3	4285	0.05		
"Bangladesh"	1216842	1162767	0.5	-4	44	49	0.3	6	4172	0.15		
"Egypt"	1161188	1106555	0.4	10	33	46	0.3	-1	5219	0.05		
"Russian Federation"	1018192	-755987	0.4	-5	43	21	1.3	5	4187	0.09		
"Spain"	904928	140512	0.3	-5	23	15	1.9	3	3890	0.05		
"Israel"	810141	357892	0.3	1	41	42	0.4	4	5483	0.07		
"Czech Republic"	770855	457532	0.3	1	24	28	1	4	2987	0.1		
"Chile"	600285	46642	0.2	-12	79	43	0.4	6	11582	0.13		
"Poland"	547428	62103	0.2	3	26	18	1.5	8	3121	0.08		
"Oman"	504614	-819540	0.2	-5	40	83	0.08	-6	5977	0.08		
"Hungary"	496614	288772	0.2	5	-9	33	0.6	6	2180	0.09		
"Sweden"	447603	-294225	0.2	-5	31	31	0.9	3	2128	0.07		
"Ireland"	389750	15292	0.1	4	-17	36	0.5	4	3265	0.1		
"Denmark"	388221	-104628	0.1	-2	10	35	0.6	5	2182	0.08		
"Sri Lanka"	355504	287521	0.1	-8	20	85	0.08	-3	4351	0.16		
"Area Nes"	351231	349834	0.1	-2	-29							
"Peru"	338497	186502	0.1	-3	35	54	0.2	3	10420	0.13		
"Qatar"	325715	-3056204	0.1	0	2	70	0.1	0	5745	0.06		
"Kuwait"	298309	-389523	0.1	-2	16	76	0.1	-3	5837	0.07		
"Colombia"	287715	229669	0.1	4	59	51	0.3	4	8915	0.13		
"Iraq"	282646	282585	0.1	8	37	62	0.2	3	4107	0.18		
"Nigeria"	273137	-824935	0.1	9	56	53	0.2	17	7792	0.1		
"Austria"	264301	-205965	0.1	2	19	27	1	3	1514	0.18		
"Yemen"	264151	-291153	0.1	17	18	107	0.04	11	5706	0.11		
"Finland"	249231	-110219	0.1	2	54	44	0.4	3	2842	0.07		
"Portugal"	231995	126376	0.1	5	51	40	0.4	2	2788	0.14		
"Ecuador"	227809	149511	0.1	-7	75	69	0.1	3	9174	0.12		
"Romania"	220321	71045	0.1	8	42	37	0.5	6	1891	0.07		
"Norway"	206003	-423953	0.1	-16	12	39	0.5	3	3470	0.06		
"Kenya"	205068	185034	0.1	-8	55	80	0.09	2	6680	0.08		
"Libya, State of"	188595	-967279	0.1	15	7	89	0.07	12	3475	0.08		
"Mozambique"	179320	137798	0.1	-6	32	108	0.04	8	6196	0.1		
"Jordan"	175261	152568	0.1	3	49	84	0.08	0	5167	0.07		
"Benin"	166656	165914	0.1	-32	-25	149	0.01	-2	6481	0.07		
"Slovakia"	149513	26024	0.1	0	30	38	0.5	4	2664	0.07		
"Angola"	149204	-1463866	0.1	-6	-15	100	0.05	-11	7692	0.06		
"Ghana"	145179	-129703	0.1	-10	28	82	0.08	8	8888	0.18		
"Greece"	143954	53107	0.1	3	15	45	0.3	4	2847	0.05		
"Côte d'Ivoire"	142709	138040	0.1	-16	39	93	0.06	9	6793	0.08		
"Iran, Islamic Republic of"	138628	32339	0.1	-25	5	72	0.1	-18	5612	0.13		
"Papua New Guinea"	135199	132128	0.1	-3	8	143	0.02	-1	4973	0.17		
"Ukraine"	133378	-123428	0	5	36	48	0.3	7	3255	0.06		
"Senegal"	130744	129636	0	-9	17	110	0.04	4	6632	0.05		
"Tanzania, United Republic of"	129309	106778	0	1	31	102	0.05	7	6633	0.1		
"Guatemala"	124945	113605	0	3	85	68	0.1	7	5828	0.15		
"Panama"	123322	-95920	0	-13	45	60	0.2	1	8657	0.12		
"Cameroon"	119925	117274	0	-18	-14	116	0.03	8	7279	0.14		
"Slovenia"	116060	54473	0	5	97	55	0.2	10	2404	0.07		
"Morocco"	113131	54091	0	1	32	52	0.3	4	4316	0.07		
"Bahrain"	107440	-207808	0	-13	-13	101	0.05	1	6359	0.08		
"Lebanon"	102175	101323	0	-17	56	97	0.06	-12	3592	0.06		
"Tunisia"	96426	78947	0	-4	18	78	0.10	-1	3411	0.06		
"Costa Rica"	93531	29575	0	-7	42	86	0.08	3	6987	0.22		
"Bulgaria"	86099	-2110	0	12	43	57	0.2	6	2237	0.05		
"Brunei Darussalam"	82123	-495932	0	1	-28	109	0.04	26	5185	0.11		
"Honduras"	81616	73769	0	3	71	99	0.05	4	6104	0.16		
"Togo"	75619	74114	0	-5	-12	153	0.01	10	7318	0.08		
"Trinidad and Tobago"	73741	-47126	0	-9	10	128	0.03	-1	6663	0.26		
"Maldives"	69582	6780	0	-15	27	151	0.01	-3	4478	0.08		
"Jamaica"	68645	53410	0	-3	23	137	0.02	-2	6759	0.22		
"Dominican Republic"	66906	35319	0	-2	5	67	0.1	5	6446	0.22		
"Bhutan"	65708	65669	0	10	29	178	0	15	1733	0.63		
"Algeria"	62033	-669139	0	-18	30	64	0.2	-8	4584	0.07		
"Congo, Democratic Republic of the"	60794	-190587	0	40	28	111	0.04	13	6479	0.14		
"Nepal"	57034	55969	0	-9	42	96	0.06	8	1856	0.56		
"El Salvador"	55709	47922	0	3	78	88	0.07	9	4914	0.15		
"Mauritius"	54703	52278	0	-9	10	133	0.02	-2	7320	0.08		
"Fiji"	52408	49252	0	-9	36	157	0.01	-7	7384	0.12		
"Niger"	50336	50152	0	6	285	162	0	13	5715	0.09		
"New Caledonia"	49087	48172	0	-1	20	155	0.01	-1	11471	0.2		
"Kazakhstan"	48881	31486	0	-6	64	58	0.2	6	3017	0.25		
"Ethiopia"	43084	41009	0	-1	-20	90	0.07	1	6305	0.11		
"Latvia"	41431	23324	0	-3	-13	77	0.1	7	1575	0.08		
"Georgia"	41319	39088	0	5	25	113	0.04	-2	2513	0.09		
"Uruguay"	40146	-19554	0	4	41	95	0.06	0	9836	0.11		
"Estonia"	37939	12587	0	-8	2	73	0.1	6	2314	0.06		
"Djibouti"	36401	36273	0	-17	47	130	0.02	5	6387	0.22		
"French Polynesia"	35677	35413	0	2	32	165	0	1	13300	0.24		
"Macao, China"	33590	23052	0	16	-8	81	0.09	15		0.17		
"Syrian Arab Republic"	31913	31874	0	-8	-15	139	0.02	-3	2496	0.27		
"Lithuania"	31794	6807	0	4	3	59	0.2	7	1630	0.07		
"Paraguay"	31428	-8675	0	-11	57	92	0.06	0	7311	0.15		
"Congo"	30062	-213240	0	-22	11	154	0.01	-18	6851	0.07		
"Sudan"	29612	28220	0	-20	-49	122	0.03	-2		0.13		
"Bolivia, Plurinational State of"	26825	25381	0	-9	60	106	0.04	-3	7978	0.11		
"Cyprus"	26388	19209	0	-4	35	105	0.05	-1	3118	0.09		
"Nicaragua"	25647	19195	0	-5	75	104	0.05	4	5888	0.1		
"Uganda"	25439	23094	0	8	39	132	0.02	11	5788	0.09		
"Uzbekistan"	24523	15939	0	53	-62	74	0.1	16	3412	0.12		
"Madagascar"	22141	7736	0	-16	-2	138	0.02	2	7339	0.08		
"Malta"	21294	-16709	0	-5	-2	120	0.03	1	3249	0.08		
"Mali"	21021	9937	0	28	14	141	0.02	9	5008	0.1		
"Suriname"	20946	16631	0	4	67	173	0	1	9050	0.14		
"Croatia"	20287	10862	0	-15	12	63	0.2	6	1362	0.07		
"Serbia"	19559	11047	0	7	19	65	0.2	9	2497	0.06		
"Guinea"	18508	15751	0	6	-19	135	0.02	7	9140	0.19		
"Barbados"	17941	15352	0	-6	34	161	0	0	4992	0.21		
"Gabon"	15396	-43310	0	-17	-65	158	0.01	-2	7114	0.11		
"Mongolia"	15382	-23534	0	6	48	125	0.03	8	3267	0.22		
"Solomon Islands"	14477	10335	0	4	53	190	0	0	6301	0.17		
"Guyana"	14168	12444	0	18	58	144	0.02	13	11175	0.21		
"Somalia"	13214	11818	0	-13	-2	150	0.01	9	5305	0.16		
"Burkina Faso"	13191	11882	0	-21	11	136	0.02	5	6109	0.05		
"Malawi"	13099	13075	0	31	163	168	0	0	5169	0.15		
"Mauritania"	12324	12317	0	-6	-37	146	0.02	1	5817	0.07		
"Venezuela, Bolivarian Republic of"	12163	-14105	0	-24	58	117	0.03	-11	8121	0.16		
"Vanuatu"	11973	-140157	0	-9	47	198	0	-2	6248	0.13		
"Samoa"	11964	11947	0	4	11	197	0	-1	6816	0.13		
"Azerbaijan"	11964	-159123	0	8	34	98	0.05	5	3712	0.09		
"Namibia"	11760	597	0	34	39	126	0.03	-1	3757	0.37		
"Zimbabwe"	11679	7844	0	2	-28	134	0.02	7	3754	0.39		
"Liberia"	11431	-112996	0	23	97	87	0.07	17	11608	0.19		
"Zambia"	11364	-70258	0	0	61	119	0.03	-9	5447	0.14		
"Sierra Leone"	11328	9605	0	-5	3	170	0	10	8820	0.13		
"Timor-Leste"	11249	10816	0	-28	217	183	0	12	3988	0.22		
"Afghanistan"	10371	10063	0	-22	-32	147	0.02	-8	2990	0.12		
"United States Minor Outlying Islands"	10308	10033	0	-4	-3	177	0	0		0.21		
"Seychelles"	9400	7107	0	-10	-19	187	0	-7	6627	0.06		
"Palestine, State of"	9195	9195	0	15	615	176	0	8	3026	0.1		
"Andorra"	9051	8924	0	131	4539	166	0	2	610	0.52		
"Saint Lucia"	9014	8654	0	-2	81	171	0	-10	5321	0.23		
"Haiti"	9009	-7598	0	-19	202	140	0.02	0	6340	0.18		
"Gambia"	8653	8029	0	-23	-36	167	0	7	8260	0.14		
"Bosnia and Herzegovina"	8649	4585	0	13	4	94	0.06	3	2228	0.07		
"Macedonia, North"	8083	3741	0	29	81	103	0.05	8	1348	0.09		
"Armenia"	6949	6818	0	-3	8	131	0.02	6	3323	0.15		
"Equatorial Guinea"	6758	-65449	0	-7	-37	182	0	2	6008	0.11		
"Iceland"	6670	-11182	0	-9	20	112	0.04	-1	4251	0.05		
"Albania"	6199	3357	0	-1	-29	121	0.03	6	1886	0.13		
"Cayman Islands"	6111	6102	0	12	130	123	0.03	5	7522	0.35		
"Cabo Verde"	5417	5415	0	-10	-1	181	0	4	5196	0.21		
"Rwanda"	5171	-78282	0	7	49	159	0.01	17	5437	0.08		
"Belarus"	5011	-103594	0	-6	-4	61	0.2	2	2268	0.23		
"Luxembourg"	4483	-16957	0	-19	75	71	0.1	3	1488	0.14		
"Cuba"	4312	2334	0	-23	3	145	0.02	-13	7148	0.09		
"Marshall Islands"	4272	-41497	0	1	89	91	0.06	-1	7455	0.18		
"Curaçao"	4032	2047	0	-19	-7	163	0	-12		0.24		
"Bahamas"	3589	-108570	0	-11	-54	115	0.03	-8	6248	0.19		
"Tonga"	3486	3486	0	10	27	202	0	4	5771	0.16		
"Turkmenistan"	3431	3425	0	-14	163	148	0.02	4	3495	0.15		
"Antigua and Barbuda"	3303	-9581	0	-11	66	174	0	1	6334	0.27		
"Grenada"	3268	3267	0	-4	35	191	0	-1	4157	0.2		
"South Sudan"	3151	3146	0	-12	-51	194	0	12		0.25		
"Micronesia, Federated States of"	2925	-154384	0	-3	-1	208	0	-8	7109	0.19		
"Saint Kitts and Nevis"	2675	2675	0	-1	77	201	0	-12	5440	0.41		
"Dominica"	2443	2254	0	-5	36	185	0	8	4908	0.65		
"Burundi"	2148	-759	0	17	-3	188	0	13	4755	0.14		
"British Virgin Islands"	2022	1602	0	-7	178	156	0.01	8	7242	0.27		
"Bermuda"	2021	2018	0	-13	-4	169	0	-3	8006	0.28		
"Kiribati"	2001	-59800	0	-10	-25	205	0	10	5936	0.13		
"Northern Mariana Islands"	1728	1723	0	10	-28	216	0	-19	3811	0.2		
"Cook Islands"	1711	-3630	0	-5	58	206	0	-4	9417	0.22		
"Korea, Democratic People's Republic of"	1605	1324	0	5	-8	200	0	-49	1470	0.87		
"Tajikistan"	1593	1516	0	-3	35	142	0.02	9	2803	0.17		
"Eswatini"	1492	-6461	0	-6	27	160	0	1	1597	0.74		
"Botswana"	1341	-750	0	-21	19	124	0.03	2	2968	0.52		
"Belize"	1162	173	0	8	-68	179	0	1	5006	0.18		
"Turks and Caicos Islands"	1104	1074	0	-2	364	193	0	-3	3491	0.74		
"Aruba"	1093	785	0	-36	-22	175	0	-3	4917	0.3		
"Moldova, Republic of"	970	190	0	34	14	118	0.03	8	2317	0.08		
"Central African Republic"	956	860	0	-2	15	199	0	7	6606	0.08		
"Montenegro"	929	904	0	-18	-49	152	0.01	0	2382	0.08		
"Kyrgyzstan"	901	-36492	0	-3	-16	127	0.03	1	2892	0.2		
"Saint Vincent and the Grenadines"	880	-202	0	5	12	196	0	3	6798	0.14		
"Palau"	825	824	0	2	7	209	0	1	6232	0.16		
"Sint Maarten (Dutch part)"	807	807	0	-11	12	213	0	-7		0.43		
"Wallis and Futuna Islands"	776	776	0	-2	28	218	0	7	10103	0.24		
"Comoros"	623	622	0	-36	-24	192	0	18	5731	0.22		
"Guinea-Bissau"	581	581	0	-6	-42	195	0	2	5802	0.16		
"Lesotho"	572	570	0	17	-54	164	0	-2	1590	0.78		
"Eritrea"	480	478	0	-37	-92	203	0	-8	6303	0.14		
"Nauru"	386	-99929	0	53	-56	211	0	18	6014	0.27		
"Chad"	338	-1048	0	-62	1995	184	0	13	6931	0.16		
"Western Sahara"	297	297	0		10447	221	0	-16	12469	0.9		
"Norfolk Island"	277	277	0			222	0	1	5454	0.24		
"Sao Tome and Principe"	224	221	0	2	-73	210	0	-3	6155	0.31		
"Cocos (Keeling) Islands"	129	102	0	-10		225	0	8		0.74		
"Gibraltar"	102	100	0	-30	-57	114	0.03	-5	2572	0.09		
"Montserrat"	47	43	0	-26	-29	224	0	-7		0.49		
"Bonaire, Sint Eustatius and Saba"	42	41	0	-8	119	189	0	20		0.19		
"Greenland"	23	-6881	0	102	-78	180	0	6	3482	0.44		
"Anguilla"	21	-63	0	-3	-95	212	0	-5	4397	0.58		
"Falkland Islands (Malvinas)"	12	-335	0	-56		207	0	2	12325	0.46		
"Faroe Islands"	10	-561	0	-48	-99	172	0	7	1404	0.27		
"Tuvalu"	1	-120464	0	-55		204	0	17	6386	0.21		
"Christmas Island"		-9				220	0	3		0.69		
"Saint Helena"		-23				217	0	6	7699	0.31		
