Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Turkey's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Turkey (%)	
"World"	225264314	-46158444	100	8	33		100	3				
"Germany"	19317751	-2439726	8.6	5	21	3	6.5	3	3376	0.05		
"United States of America"	14719306	1571177	6.5	13	45	1	13.4	3	7938	0.08		
"United Kingdom"	13705148	8146966	6.1	7	22	7	3.2	1	3930	0.06		
"Italy"	11474990	-88800	5.1	4	42	11	2.5	2	2891	0.06		
"Iraq"	11131282	9467182	4.9	5	22	62	0.2	3	4107	0.18		
"Spain"	9627056	3315443	4.3	7	44	15	1.9	3	3890	0.05		
"France"	9132265	1200738	4.1	7	27	6	3.2	1	3195	0.06		
"Netherlands"	6768766	2260407	3	13	30	8	2.8	5	3706	0.07		
"Israel"	6356140	4309061	2.8	15	35	42	0.4	4	5483	0.07		
"Russian Federation"	5775897	-23183133	2.6	19	28	21	1.3	5	4187	0.09		
"United Arab Emirates"	5493464	3050804	2.4	-11	94	29	0.9	-2	5715	0.08		
"Romania"	5176255	1741822	2.3	11	33	37	0.5	6	1891	0.07		
"Belgium"	4895893	-732489	2.2	8	35	12	2.4	3	2709	0.08		
"Poland"	4674090	1038233	2.1	9	35	18	1.5	8	3121	0.08		
"Egypt"	4519351	2307675	2	14	44	46	0.3	-1	5219	0.05		
"Bulgaria"	3954032	1408560	1.8	7	50	57	0.2	6	2237	0.05		
"China"	3662823	-28576388	1.6	4	28	2	11.1	5	6416	0.04		
"Greece"	3117083	954950	1.4	12	73	45	0.3	4	2847	0.05		
"Morocco"	2977121	2054685	1.3	13	45	52	0.3	4	4316	0.07		
"Ukraine"	2900955	-1623720	1.3	21	39	48	0.3	7	3255	0.06		
"Iran, Islamic Republic of"	2770962	-52717	1.2	-4	23	72	0.1	-18	5612	0.13		
"Libya, State of"	2769426	1947630	1.2	27	68	89	0.07	12	3475	0.08		
"Azerbaijan"	2342993	1591703	1	15	12	98	0.05	5	3712	0.09		
"Syrian Arab Republic"	2108816	1924504	0.9	11	32	139	0.02	-3	2496	0.27		
"Serbia"	2039246	1568245	0.9	18	48	65	0.2	9	2497	0.06		
"Uzbekistan"	1841893	41849	0.8	24	60	74	0.1	16	3412	0.12		
"Slovenia"	1797614	1344468	0.8	11	9	55	0.2	10	2404	0.07		
"Georgia"	1704299	1233449	0.8	8	17	113	0.04	-2	2513	0.09		
"Algeria"	1698821	503941	0.8	-3	17	64	0.2	-8	4584	0.07		
"Lebanon"	1693549	1645132	0.8	14	82	97	0.06	-12	3592	0.06		
"Sweden"	1688723	-295720	0.7	3	27	31	0.9	3	2128	0.07		
"Canada"	1687217	611755	0.7	7	68	14	2.2	1	5042	0.26		
"Czech Republic"	1649335	-1064261	0.7	14	46	28	1	4	2987	0.1		
"Austria"	1520441	-309129	0.7	6	35	27	1	3	1514	0.18		
"Portugal"	1496349	375293	0.7	11	62	40	0.4	2	2788	0.14		
"Hungary"	1399287	-245934	0.6	6	11	33	0.6	6	2180	0.09		
"Tunisia"	1376446	1109615	0.6	9	48	78	0.10	-1	3411	0.06		
"India"	1304989	-6631149	0.6	9	47	10	2.6	2	5793	0.05		
"Denmark"	1301405	241532	0.6	5	25	35	0.6	5	2182	0.08		
"Kazakhstan"	1288305	-307008	0.6	16	31	58	0.2	6	3017	0.25		
"Switzerland"	1259537	-1798335	0.6	2	15	20	1.5	4	3384	0.07		
"Cyprus"	1238359	1117793	0.5	-1	44	105	0.05	-1	3118	0.09		
"Qatar"	1152425	584227	0.5	12	11	70	0.1	0	5745	0.06		
"Yemen"	1097987	1076848	0.5	16	32	107	0.04	11	5706	0.11		
"Hong Kong, China"	1055762	981373	0.5	11	29	5	3.3	3	2841	0.22		
"Brazil"	1025552	-2801526	0.5	24	74	26	1	6	10879	0.09		
"Korea, Republic of"	987450	-6609649	0.4	13	-11	9	2.8	4	5699	0.09		
"Turkmenistan"	984889	274024	0.4	4	25	148	0.02	4	3495	0.15		
"Australia"	971035	-152148	0.4	13	34	24	1.1	1	10262	0.1		
"Ireland"	958701	-26086	0.4	11	46	36	0.5	4	3265	0.1		
"Norway"	937654	66687	0.4	15	28	39	0.5	3	3470	0.06		
"Belarus"	915462	645466	0.4	21	52	61	0.2	2	2268	0.23		
"Singapore"	888520	493382	0.4	3	159	16	1.9	3	5773	0.07		
"South Africa"	861336	-331406	0.4	13	50	41	0.4	-1	9230	0.07		
"Nigeria"	841297	742249	0.4	27	38	53	0.2	17	7792	0.1		
"Mexico"	839883	-113306	0.4	13	56	13	2.3	2	7039	0.24		
"Albania"	790304	729516	0.4	17	66	121	0.03	6	1886	0.13		
"Jordan"	780811	672504	0.3	-1	33	84	0.08	0	5167	0.07		
"Pakistan"	773093	458250	0.3	21	25	47	0.3	2	4850	0.11		
"Kyrgyzstan"	749472	663011	0.3	18	79	127	0.03	1	2892	0.2		
"Malta"	741906	636775	0.3	5	72	120	0.03	1	3249	0.08		
"Kuwait"	691396	582224	0.3	10	24	76	0.1	-3	5837	0.07		
"Slovakia"	663895	-393629	0.3	12	21	38	0.5	4	2664	0.07		
"Bosnia and Herzegovina"	646767	417346	0.3	14	45	94	0.06	3	2228	0.07		
"Chile"	627361	276437	0.3	16	124	43	0.4	6	11582	0.13		
"Peru"	578035	309632	0.3	45	150	54	0.2	3	10420	0.13		
"Bangladesh"	572952	90836	0.3	13	64	49	0.3	6	4172	0.15		
"Macedonia, North"	570555	369015	0.3	10	37	103	0.05	8	1348	0.09		
"Japan"	529691	-3859493	0.2	4	20	4	3.5	1	6256	0.09		
"Senegal"	529114	518206	0.2	16	46	110	0.04	4	6632	0.05		
"Finland"	509192	-832706	0.2	12	37	44	0.4	3	2842	0.07		
